TITLE,ID,URL,Topic 1,Topic 1 FIT,Topic 2,Topic 2 FIT,Assign Final T£,Topic 3 FIT
Reforming the Law and Practice of Eyewitness Identification Evidence in Criminal Cases,94b4b87a-7ff1-4be3-a880-8dda0da88050,https://results2021.ref.ac.uk/impact/94b4b87a-7ff1-4be3-a880-8dda0da88050,121,4,119,4,,
UoP18Wills: Clarifying the Law of Donatio Mortis Causa and Reform of the Law of Wills,04f6b890-066b-415e-b361-e64dbbcf325f,https://results2021.ref.ac.uk/impact/04f6b890-066b-415e-b361-e64dbbcf325f,121,4,,,,
Improving the Law’s Response to Domestic Abuse,1f8dd523-7578-4862-b534-f67f96120c59,https://results2021.ref.ac.uk/impact/1f8dd523-7578-4862-b534-f67f96120c59,121,4,101,3,102,2
No fault now: Achieving historic reform of the divorce law in England & Wales,fef96d4a-491a-46e1-acbc-af9dccc504ba,https://results2021.ref.ac.uk/impact/fef96d4a-491a-46e1-acbc-af9dccc504ba,121,4,101,2,,
Bringing Vulnerable Parties from the Margins to the Centre in Private Family Law,a467a09e-e8a4-425c-a6b9-e90661e954d2,https://results2021.ref.ac.uk/impact/a467a09e-e8a4-425c-a6b9-e90661e954d2,121,4,101,2,136,2
Statistical Expert Witness work in Medical and Life Expectancy Litigations,5e07b187-6035-49c0-93a3-7b1671399b3d,https://results2021.ref.ac.uk/impact/5e07b187-6035-49c0-93a3-7b1671399b3d,121,4,30,2,106,2
Safeguards against wrongful conviction,68ade9ce-1a99-4c7e-80b3-efba9fd03b9c,https://results2021.ref.ac.uk/impact/68ade9ce-1a99-4c7e-80b3-efba9fd03b9c,121,4,119,2,,
Promoting Alternative Dispute Resolution within Civil Procedure in England and Wales,72051b2f-7a5c-4af4-bffc-8ca7038203e2,https://results2021.ref.ac.uk/impact/72051b2f-7a5c-4af4-bffc-8ca7038203e2,121,4,,,,
Public Policy and the Funding of Insolvency Litigation,4e9bd203-12fb-437c-92e5-611fc94e6332,https://results2021.ref.ac.uk/impact/4e9bd203-12fb-437c-92e5-611fc94e6332,121,4,106,3,,
The use of empirical research in the reform of judicial review in the UK,afc22a15-63c1-4b33-bda6-6e7ee8c65d7f,https://results2021.ref.ac.uk/impact/afc22a15-63c1-4b33-bda6-6e7ee8c65d7f,121,4,127,2,,
Pre-packaged Administration – Informing Government and Judicial Policy,06194b45-530d-48d2-9233-3fbd00251f55,https://results2021.ref.ac.uk/impact/06194b45-530d-48d2-9233-3fbd00251f55,121,4,106,2,113,2
Shaping policy for legal professional education in the UK and internationally,e1eb9e88-6383-402d-8625-c83cf4aabca7,https://results2021.ref.ac.uk/impact/e1eb9e88-6383-402d-8625-c83cf4aabca7,121,4,99,3,,
Open Justice: new pathways for promoting legal understanding and access to justice,c0cc35ee-4ab4-433d-82cf-c5346c10a354,https://results2021.ref.ac.uk/impact/c0cc35ee-4ab4-433d-82cf-c5346c10a354,121,4,136,3,127,3
Expanding and consolidating supply chains in the UK composite materials sector through the establishment of a specialist database (the ‘HUB’),b76deb22-5488-438f-9cff-d7e5e9b67328,https://results2021.ref.ac.uk/impact/b76deb22-5488-438f-9cff-d7e5e9b67328,60,4,59,2,64,2
Development of PAS 280 For Through-Life Engineering Services,d281b41e-4563-4fb8-9212-50013dfe58e0,https://results2021.ref.ac.uk/impact/d281b41e-4563-4fb8-9212-50013dfe58e0,60,4,66,2,,
Systems engineering and project management training improving the effectiveness and efficiency of organisations,41539010-56b5-4add-9b0f-9f9d7498b595,https://results2021.ref.ac.uk/impact/41539010-56b5-4add-9b0f-9f9d7498b595,60,4,62,3,111,3
Driving innovative procurement for infrastructure supply chains in the UK and internationally,69423cc4-4a6d-4621-ae04-ed5cc73fbc6c,https://results2021.ref.ac.uk/impact/69423cc4-4a6d-4621-ae04-ed5cc73fbc6c,60,4,59,3,,
ICS 1: Driving growth and performance improvement in the sourcing,e5b86200-7afd-4921-958e-7106b85dacca,https://results2021.ref.ac.uk/impact/e5b86200-7afd-4921-958e-7106b85dacca,60,3,111,3,109,2
"Procuring Work Through Partnering, Collaboration and Trust to Better Leverage Successful Outcomes on Large Construction Projects; a 14-Point Tool Kit for Supply Chains",4bf7cee5-3953-47f3-8aab-3185c551f684,https://results2021.ref.ac.uk/impact/4bf7cee5-3953-47f3-8aab-3185c551f684,60,4,59,4,,
Supporting the development of New Business Models and company strategy using a smart roadmapping toolkit,b6e9aad0-af36-4bb2-9782-3e76c347fac0,https://results2021.ref.ac.uk/impact/b6e9aad0-af36-4bb2-9782-3e76c347fac0,60,4,111,3,62,2
"Transforming governance, reporting and the delivery of UK Major Programmes",2d5aaefc-3e7d-4ccd-8e39-95de7dd36efb,https://results2021.ref.ac.uk/impact/2d5aaefc-3e7d-4ccd-8e39-95de7dd36efb,60,4,59,3,,
Using Contemporary Operations Management Paradigms (COMPS) to transform business performance,bde2cf94-1e68-4944-877b-4c04784510f6,https://results2021.ref.ac.uk/impact/bde2cf94-1e68-4944-877b-4c04784510f6,60,3,109,3,111,2
Implementing ‘Green-Lean’ to Achieve Operational Excellence in Transportation Logistics and Manufacturing,e62feb2c-9a9b-4ce5-a371-dbf81188de58,https://results2021.ref.ac.uk/impact/e62feb2c-9a9b-4ce5-a371-dbf81188de58,60,4,59,3,,
Financial and efficiency improvements from socio-technical digitalisation of costing and procurement in the built environment,b2c1a1ee-93c8-46a4-933e-8a69fa65d1e5,https://results2021.ref.ac.uk/impact/b2c1a1ee-93c8-46a4-933e-8a69fa65d1e5,60,4,59,3,,
Translating environmental sustainable supply chains into global resource efficient systems in China,d887967b-cdfa-476d-8896-1254b2832310,https://results2021.ref.ac.uk/impact/d887967b-cdfa-476d-8896-1254b2832310,60,4,59,2,,
Transforming Sustainability Practices of Global Logistics and Supply Chains,834f7c54-8253-47ed-85c7-cd606ee6217f,https://results2021.ref.ac.uk/impact/834f7c54-8253-47ed-85c7-cd606ee6217f,60,4,60,3,68,2
Embedding Building Information Management capabilities within the construction sector,daba0669-287c-4c23-903b-203cfb26b0f3,https://results2021.ref.ac.uk/impact/daba0669-287c-4c23-903b-203cfb26b0f3,60,4,59,3,111,2
Enhancing decision-making through new modelling methods of dependent risks to improve engineered systems and complex projects,970f8fdf-335a-4fb2-8ad0-fc7d23ae8386,https://results2021.ref.ac.uk/impact/970f8fdf-335a-4fb2-8ad0-fc7d23ae8386,60,3,111,2,,
Financial and environmental benefits through the development and transfer of control and monitoring technology in the process industries,6d377eb5-33b9-4e52-b9cb-9a32856c0880,https://results2021.ref.ac.uk/impact/6d377eb5-33b9-4e52-b9cb-9a32856c0880,60,4,46,2,,
Making industrial installations safer and more efficient by identifying real and false alarms,a2fbcd96-cb47-430f-a87b-54281ff13b7f,https://results2021.ref.ac.uk/impact/a2fbcd96-cb47-430f-a87b-54281ff13b7f,60,3,44,3,56,
The development of commercial optimization software,d0451bc2-7e04-4d63-92f2-e8b3ab403ae8,https://results2021.ref.ac.uk/impact/d0451bc2-7e04-4d63-92f2-e8b3ab403ae8,60,4,45,3,111,2
Improving Forecasting in Organisations with Statistical and Machine Learning Methods,800bf6e1-32e5-4a63-b35a-9cd7780cc115,https://results2021.ref.ac.uk/impact/800bf6e1-32e5-4a63-b35a-9cd7780cc115,60,4,46,3,45,3
Forecasting Gas Demand,8efa89b5-7f51-4156-a3b8-482cea99587a,https://results2021.ref.ac.uk/impact/8efa89b5-7f51-4156-a3b8-482cea99587a,60,4,61,4,54,3
Developing financially sustainable national and international supply chains,f21961a2-e132-43a8-82d5-41ee1c380c90,https://results2021.ref.ac.uk/impact/f21961a2-e132-43a8-82d5-41ee1c380c90,60,4,,,,
Enhancing productivity and competitiveness of small and medium sized enterprises in the UK and India through low carbon initiatives,cb182d53-20f1-4256-aa90-a72a34bda29e,https://results2021.ref.ac.uk/impact/cb182d53-20f1-4256-aa90-a72a34bda29e,60,3,111,2,54,2
Optimising Global Transportation Networks Using MetaHeuristic Approaches,0c745508-340f-4536-9782-2b7f13357749,https://results2021.ref.ac.uk/impact/0c745508-340f-4536-9782-2b7f13357749,60,4,46,3,111,2
Transforming the North Sea logistics supply chain,e1cdb336-a9e6-4397-b67e-eb4979602aae,https://results2021.ref.ac.uk/impact/e1cdb336-a9e6-4397-b67e-eb4979602aae,60,4,46,3,111,2
Improving the Maritime Transshipment Operations of the Noble Group,4b4052b9-1ce3-40aa-af92-e1a9c2983fec,https://results2021.ref.ac.uk/impact/4b4052b9-1ce3-40aa-af92-e1a9c2983fec,60,4,46,2,,
Saving time and money through industrial scheduling and optimisation algorithms,20c006cb-1122-46fa-856a-e8b80cf9f8af,https://results2021.ref.ac.uk/impact/20c006cb-1122-46fa-856a-e8b80cf9f8af,60,4,45,2,44,2
Improving plant operations through innovative software products,73d1573e-0280-4d28-88e1-a95cc66a4f08,https://results2021.ref.ac.uk/impact/73d1573e-0280-4d28-88e1-a95cc66a4f08,60,4,45,3,,
Wholescale modernisation of a major manufacturer’s asset maintenance management system,7487f318-39e6-4ede-a384-4db9ac07c2a5,https://results2021.ref.ac.uk/impact/7487f318-39e6-4ede-a384-4db9ac07c2a5,60,3,111,3,46,3
The Implementation of Stakeholder-Driven Supply Chain Integration,196860f5-2c02-4262-b2a9-771420fff0e3,https://results2021.ref.ac.uk/impact/196860f5-2c02-4262-b2a9-771420fff0e3,60,4,111,3,,
Process Systems Engineering,5609a70f-5f26-46be-b0c8-d5e1f0bb5a25,https://results2021.ref.ac.uk/impact/5609a70f-5f26-46be-b0c8-d5e1f0bb5a25,60,4,63,4,46,2
Sustainable Advanced Manufacturing in the North East,1b7c6673-cd4b-47ee-93f5-d9cccd52c744,https://results2021.ref.ac.uk/impact/1b7c6673-cd4b-47ee-93f5-d9cccd52c744,112,4,60,2,111,2
Providing better guidance on valuing infrastructure spend to support UK regional development,b4de58f3-2b44-44b8-ab05-6d5f0d620178,https://results2021.ref.ac.uk/impact/b4de58f3-2b44-44b8-ab05-6d5f0d620178,112,4,60,3,,
Modelling the Future: Investments in an Uncertain World,e67a657d-dcbe-472f-84b6-b000b8c61075,https://results2021.ref.ac.uk/impact/e67a657d-dcbe-472f-84b6-b000b8c61075,112,4,116,2,,
Sustainable Prosperity in a Post-Growth Economy,de5923c9-80c8-4b4f-812a-706fe92920ce,https://results2021.ref.ac.uk/impact/de5923c9-80c8-4b4f-812a-706fe92920ce,112,3,69,3,,
The Transition Pathway Initiative,58485995-299a-487f-b1c5-ee5f6cc78504,https://results2021.ref.ac.uk/impact/58485995-299a-487f-b1c5-ee5f6cc78504,112,4,69,3,,
Stronger together: identifying and fostering industrial clusters across borders – Ireland and Northern Ireland.,ef310506-88bf-443b-a47a-26f68c342177,https://results2021.ref.ac.uk/impact/ef310506-88bf-443b-a47a-26f68c342177,112,4,111,3,131,2
Supporting the Rural Economy: Forming Policy for Rural Business and Shaping the UK Industrial Strategy,32e0488d-79e4-45ed-9e49-6d3c184779c4,https://results2021.ref.ac.uk/impact/32e0488d-79e4-45ed-9e49-6d3c184779c4,112,4,111,2,,
Falmouth’s Launchpad Programme: Solving Economic Challenges in a Deprived Region,bca042ad-0826-423b-9ce1-ce6fd3076cc7,https://results2021.ref.ac.uk/impact/bca042ad-0826-423b-9ce1-ce6fd3076cc7,112,3,41,3,111,2
The Foundational Economy: Influencing Economic Policy and Practice in Wales,84e33df9-bcbc-4679-939e-359cab7d922e,https://results2021.ref.ac.uk/impact/84e33df9-bcbc-4679-939e-359cab7d922e,112,4,111,2,,
Swansea Bay City Region innovation ecosystem: creating the conditions for ideas to thrive in South West Wales,950dae94-5deb-4b09-959a-fc3bd7f89fbc,https://results2021.ref.ac.uk/impact/950dae94-5deb-4b09-959a-fc3bd7f89fbc,112,4,48,3,,
Using Social Discount Rates to Inform Public Investment Decisions in Long-Term Projects,c4c3d212-6691-4e7b-9797-f27169f7f90b,https://results2021.ref.ac.uk/impact/c4c3d212-6691-4e7b-9797-f27169f7f90b,112,3,73,2,67,2
Developing an economic valuation of environmental damage,1174b301-2912-4cc1-9140-4865bee2af12,https://results2021.ref.ac.uk/impact/1174b301-2912-4cc1-9140-4865bee2af12,112,3,67,3,,
Using Local Content Policy to Drive Economic Growth in Resource-Rich Countries,08058245-4d2b-4579-85aa-2f0aaa2fd109,https://results2021.ref.ac.uk/impact/08058245-4d2b-4579-85aa-2f0aaa2fd109,112,4,107,2,110,2
Developing the capacity for International Investment Regulation in Africa,1e10df72-6b86-4d13-b050-6294befbdd85,https://results2021.ref.ac.uk/impact/1e10df72-6b86-4d13-b050-6294befbdd85,112,4,111,2,120,2
Increasing the effectiveness of export subsidies in the Dominican Republic and Nepal,c17eef79-307a-4d6e-8ef0-2209c95968a3,https://results2021.ref.ac.uk/impact/c17eef79-307a-4d6e-8ef0-2209c95968a3,112,4,107,2,110,2
Shaping ways to combat corruption,d978d063-53a7-4b88-89c4-ae29e7a4bd6b,https://results2021.ref.ac.uk/impact/d978d063-53a7-4b88-89c4-ae29e7a4bd6b,112,2,113,2,127,2
Shaping the national agenda on place and policy,a7df1c05-1fab-405e-b0f3-780bc9606685,https://results2021.ref.ac.uk/impact/a7df1c05-1fab-405e-b0f3-780bc9606685,112,4,113,3,126,2
Taxation and Investment in the Maturing UK Continental Shelf,5ac79d19-7630-474a-9baa-224a54c3c3b5,https://results2021.ref.ac.uk/impact/5ac79d19-7630-474a-9baa-224a54c3c3b5,112,3,61,3,116,2
Innovation friendly regulation: Implementing proportionate and adaptive governance for innovation in technology in the UK (PAGIT),9856d83f-e5f2-4f76-9f53-7f520bf22c66,https://results2021.ref.ac.uk/impact/9856d83f-e5f2-4f76-9f53-7f520bf22c66,112,4,,,,
Patent Enforcement Index: Changing Patent Filing Practice and Policy Globally,91473312-c340-4d00-9bb6-ec7ec595abb8,https://results2021.ref.ac.uk/impact/91473312-c340-4d00-9bb6-ec7ec595abb8,112,3,9,2,,
Demographic structure and economic trends: planning for Europe’s financial future,26c29be0-99e0-4cfd-a7d8-d7fc7aba1557,https://results2021.ref.ac.uk/impact/26c29be0-99e0-4cfd-a7d8-d7fc7aba1557,112,4,106,3,,
"Enhancing analytical capacity and knowledge through economic modelling to strengthen regional policy-making in Scotland, Northern Ireland and Europe.",837cec5c-2af4-4e74-bd1e-909849a6c96b,https://results2021.ref.ac.uk/impact/837cec5c-2af4-4e74-bd1e-909849a6c96b,112,4,113,2,,
Improving Company Law Across Borders,9d3ee3bb-a62a-498c-a577-f8c4c291b8de,https://results2021.ref.ac.uk/impact/9d3ee3bb-a62a-498c-a577-f8c4c291b8de,112,3,111,3,125,2
Improving the use of empirical evidence to increase returns on public expenditure and investments aimed at improving local and national economic growth,f354798a-dd26-4f73-a0db-4e1c697ea6f0,https://results2021.ref.ac.uk/impact/f354798a-dd26-4f73-a0db-4e1c697ea6f0,112,4,,,,
Promoting policy reforms in the Philippines by Thinking and Working Politically in development,4b4d933c-f357-4910-92b7-0e2b87705778,https://results2021.ref.ac.uk/impact/4b4d933c-f357-4910-92b7-0e2b87705778,112,3,110,2,124,2
"Pioneering mission-oriented innovation with policymakers in Europe, the UK and Scotland to create public value",1bd0fe0a-6f1a-44e5-bfc8-9c627c81a00b,https://results2021.ref.ac.uk/impact/1bd0fe0a-6f1a-44e5-bfc8-9c627c81a00b,112,4,107,2,,
Stimulating Demand-side Innovation through Policies on the Public Procurement of Innovation (PPI),d6dc3d18-29aa-4135-b3d6-5315334b7c73,https://results2021.ref.ac.uk/impact/d6dc3d18-29aa-4135-b3d6-5315334b7c73,112,4,107,2,,
Addressing the Paucity of Creative Data in Second Tier Creative Cities in the UK,eef78d31-d466-45b6-8661-75ee67319d2e,https://results2021.ref.ac.uk/impact/eef78d31-d466-45b6-8661-75ee67319d2e,112,4,111,3,58,2
CLEAR IDEAS: improving innovation skills and organisational performance,9a668659-82a3-4297-8862-24538979fe7a,https://results2021.ref.ac.uk/impact/9a668659-82a3-4297-8862-24538979fe7a,112,4,111,3,,
"Designing and delivering Growth Hubs: Supporting small businesses, creating and safeguarding jobs and driving economic growth across England.",8460137d-d822-4b1e-9843-eb8e7340da60,https://results2021.ref.ac.uk/impact/8460137d-d822-4b1e-9843-eb8e7340da60,112,4,111,3,,
"Shaping the UK’s Industrial Strategy, the Scottish National Investment Bank and the European Commission’s Horizon Europe programme",cc1bab11-4e89-4ff2-8434-265a87cf0b68,https://results2021.ref.ac.uk/impact/cc1bab11-4e89-4ff2-8434-265a87cf0b68,112,4,111,1,,
Maximising the benefits of inward investment for the West Midlands,313cef10-c25b-42f8-a3ac-9ec10de7a0ac,https://results2021.ref.ac.uk/impact/313cef10-c25b-42f8-a3ac-9ec10de7a0ac,112,4,111,2,,
Industrial Strategy in the West Midlands and beyond: Changing policy and practice towards growth in professional and business services,7094bfaf-f16f-452f-8785-f30bc3fb5c5a,https://results2021.ref.ac.uk/impact/7094bfaf-f16f-452f-8785-f30bc3fb5c5a,112,4,111,2,,
Improving Subnational Economic Development and Decentralisation Policy in the UK,0c2fea31-ae81-4098-9ad9-ebe949af6797,https://results2021.ref.ac.uk/impact/0c2fea31-ae81-4098-9ad9-ebe949af6797,112,4,115,2,,
Reframing approaches to the implementation of regional development programmes by the European Union,dae1e46f-580c-4803-a16e-ec2356c6d8b9,https://results2021.ref.ac.uk/impact/dae1e46f-580c-4803-a16e-ec2356c6d8b9,112,4,125,2,,
Building state and societal capabilities to maximise the developmental effects of inward foreign direct investment (FDI).,87a7939b-a65e-44c5-b143-e0ca9c7f58ce,https://results2021.ref.ac.uk/impact/87a7939b-a65e-44c5-b143-e0ca9c7f58ce,112,4,107,2,110,2
Building economic resilience: UK regional and national responses to Brexit and Covid-19,7461fa70-0f8d-4b8c-aa40-169671cd0ee9,https://results2021.ref.ac.uk/impact/7461fa70-0f8d-4b8c-aa40-169671cd0ee9,112,4,125,2,,
Creating the Borderlands Initiative: political innovation driving economic development on the Anglo-Scottish Border,f3b491a3-4040-4c43-a10f-a8bf7065863d,https://results2021.ref.ac.uk/impact/f3b491a3-4040-4c43-a10f-a8bf7065863d,112,4,111,2,,
Implementing Transformative Innovation Policy in Colombia to meet the Sustainable Development Goals,8e4d123d-b391-4e2a-846b-f89bc9f76a83,https://results2021.ref.ac.uk/impact/8e4d123d-b391-4e2a-846b-f89bc9f76a83,112,4,110,2,73,2
Successfully providing expertise on innovation policies in the EU and in Central and Eastern Europe,c63c1610-dddf-4859-8daf-51ee1a9e8dec,https://results2021.ref.ac.uk/impact/c63c1610-dddf-4859-8daf-51ee1a9e8dec,112,4,125,2,,
Promoting Sustainable Development Through Special Economic Zones,45038edd-fa90-41d3-92a5-ef3fb1a56484,https://results2021.ref.ac.uk/impact/45038edd-fa90-41d3-92a5-ef3fb1a56484,112,4,110,4,,
A Good City Has Industry: Successfully Advocating Better Integration of Industrial Activities in Brussels,d2ae9358-f1ca-4fdb-9db2-f67e923f0fc2,https://results2021.ref.ac.uk/impact/d2ae9358-f1ca-4fdb-9db2-f67e923f0fc2,112,4,115,3,,
Transforming global and national policies on innovation in Low Income Countries (LICs),914018b4-6390-4016-99b2-5dbf5117ce20,https://results2021.ref.ac.uk/impact/914018b4-6390-4016-99b2-5dbf5117ce20,112,4,110,3,,
Influencing and shaping public policies to benefit local and regional economies,b5c099ce-470d-4819-8afe-75cb8842a832,https://results2021.ref.ac.uk/impact/b5c099ce-470d-4819-8afe-75cb8842a832,112,4,125,2,,
Air transport service and regulatory developments in the Caribbean/Latin America region,d4bf445a-d773-4651-afb9-612465bd7e43,https://results2021.ref.ac.uk/impact/d4bf445a-d773-4651-afb9-612465bd7e43,112,4,58,2,,
Using economic modelling to inform UK airport expansion,95fbb0bd-f9c9-4954-b0f6-fb3ea8b6a46e,https://results2021.ref.ac.uk/impact/95fbb0bd-f9c9-4954-b0f6-fb3ea8b6a46e,112,4,58,4,59,3
Economic Modelling of Tourism,f91dbcc9-d529-4311-b056-d0d56a3c8328,https://results2021.ref.ac.uk/impact/f91dbcc9-d529-4311-b056-d0d56a3c8328,112,4,58,2,,
Compressor Elliptical Leading Edge,99f7e5b5-6923-480d-940e-aab5f3525305,https://results2021.ref.ac.uk/impact/99f7e5b5-6923-480d-940e-aab5f3525305,66,4,62,2,,
Wind turbine blade and aerospace composite component manufacture benefits from advanced numerical simulations,194f9daf-659f-4b3e-b0fd-ac852ff6d8cb,https://results2021.ref.ac.uk/impact/194f9daf-659f-4b3e-b0fd-ac852ff6d8cb,66,4,45,3,62,2
Novel simulation and manufacture methods deliver advances for Rolls-Royce’s next generation composite aeroengine fan system,0c2528e7-d66f-44fd-8fee-c30c720bb189,https://results2021.ref.ac.uk/impact/0c2528e7-d66f-44fd-8fee-c30c720bb189,66,4,62,3,,
S-ducts for efficient aeroengines,2dc4cf5e-bdd4-45f6-8135-6e92310d7d49,https://results2021.ref.ac.uk/impact/2dc4cf5e-bdd4-45f6-8135-6e92310d7d49,66,4,62,3,,
F-35B: V/STOL Aircraft Design and Employment,5ef8bc0c-80a0-4a1f-bd2b-ecad55ec75e7,https://results2021.ref.ac.uk/impact/5ef8bc0c-80a0-4a1f-bd2b-ecad55ec75e7,66,4,,,,
Using advanced textiles to enhance UK-based technology and manufacturing capability in the US dominated space satellite telecommunication industry,75a4e267-13f6-441a-8141-1e9aa6294c56,https://results2021.ref.ac.uk/impact/75a4e267-13f6-441a-8141-1e9aa6294c56,66,4,64,3,,
Improving quality in manufacture of high value aerospace parts,6150f587-42f9-4924-9988-177bd7f83dca,https://results2021.ref.ac.uk/impact/6150f587-42f9-4924-9988-177bd7f83dca,66,4,62,3,,
Influencing Single Pilot Aircraft Research Strategy,8df67c81-c483-4a27-b28a-dab2f00e941f,https://results2021.ref.ac.uk/impact/8df67c81-c483-4a27-b28a-dab2f00e941f,66,4,,,,
Reducing Fuel Burn and CO2 Emissions in Rolls-Royce Turbofans through Improved Integrated Compressor Duct Technologies,19aad285-129f-493f-a1f9-26ad752e23db,https://results2021.ref.ac.uk/impact/19aad285-129f-493f-a1f9-26ad752e23db,66,4,62,3,,
Gas turbine engines –structural materials solutions supporting a reduced carbon future,5d9bf6f3-6ca2-40c0-8243-351de0443e1f,https://results2021.ref.ac.uk/impact/5d9bf6f3-6ca2-40c0-8243-351de0443e1f,66,4,64,3,62,3
"Computational fluid dynamics changes aircraft policy guidelines, increases airport capacity and delivers new capability to industry engineers",7c75b35d-dfe3-4244-9fe1-329058840dd2,https://results2021.ref.ac.uk/impact/7c75b35d-dfe3-4244-9fe1-329058840dd2,66,4,,,,
Design Information for Improved Disc Life and Clearance Control,2ea12098-034c-412d-acd6-41cbb863a4d7,https://results2021.ref.ac.uk/impact/2ea12098-034c-412d-acd6-41cbb863a4d7,66,4,62,3,,
Boeing Sheffield - A first for Europe,01ddaf13-ff7c-4700-a1ef-7d158702156a,https://results2021.ref.ac.uk/impact/01ddaf13-ff7c-4700-a1ef-7d158702156a,66,4,111,2,,
Design and Optimisation of Laminar Flow Wing Technology for Next Generation Aircraft.,558c28df-7e9a-4384-bd34-f5209e7a5ff1,https://results2021.ref.ac.uk/impact/558c28df-7e9a-4384-bd34-f5209e7a5ff1,66,4,,,,
