"topic_id","group_id","topic_group","topic_name","topic_name_long","description","narrative","keywords","X"
58,3,"Technology","Transportation","Transportation, Urban Mobility, Logistics","Research in this topic informs urban planning and transportation policy, advancing the design and implementation of more efficient, inclusive, and resilient mobility systems. Case studies shaped investment strategies and infrastructure priorities, with strong emphasis on accessibility for disabled people, the elderly, and children, as well as supporting active urban lifestyles. Many case studies focus on sustainability, addressing the challenges of climate change and uncertainty through innovative and ecologically responsible planning. Research also extended beyond urban environments to include broader logistical systems such as airport infrastructure, regional transit, and transport ticketing systems. Novel tools and technologies were developed to support planners and transport organisations in overcoming complex mobility and logistics challenges across diverse contexts.",NA,NA,NA
83,5,"Culture","Performance Arts","Theatre & Performance","Research in this topic explores the cultural legacy, contemporary practice, and uses of performance across theatre, dance, and related art forms. Case studies span writing, acting, directing, choreography, design, and emerging stage technologies, highlighting the creative breadth of live performance. Work celebrates the rich heritage of British theatre, particularly the enduring impact of Shakespeare, while also exploring a diverse range of dance practices and non-theatrical performance traditions. Many projects promote inclusion and diversity in both production and participation, using performance as a platform for the expression of marginalised voices and cross-cultural discourse, building community relationships and mutual understanding. There is also emphasis on education, with theatre and dance used to engage youth, support performer training, and explore complex historical and social narratives.",NA,NA,NA
126,7,"Society","News & Comms","News, Communications & Information Environments","Research in this topic focuses on developing responsible information environments by tackling misinformation, enhancing media literacy, and promoting frameworks for impartiality and open communication. Case studies have informed global government, institutional, and corporate communication policies that protect democratic processes and ensure access to trusted information. Work supports educators, media professionals, organisations, and the public in navigating the digital information landscape. It strengthens connections between regulators, broadcasters, institutions, and audiences, shaping both public understanding and communication practices. Research also promoted diversity and representation across journalism, news, and wider media communications.",NA,NA,NA
125,7,"Society","Brexit & Trade","Brexit, UK & EU policies, Intl. Trade","Research in this topic shaped understanding and responses to Brexit, its legal implications, and the redefinition of the UK’s place in the world. Case studies informed the redrawing of UK legislation and legal frameworks, supported the protection of EU nationals’ rights, and guided the restructuring of Britain’s foreign relations. Scholars played a central role in communicating the consequences of Brexit to the public and in advising on the future of UK governance, trade policy, and regulatory structures. Research also supported British Overseas Territories and informed collaboration with Ireland on border and policy issues. Beyond Brexit, work on EU policymaking and trade institutions enhanced understanding of EU-specific rights and shaped evolving trade policy. Broader international trade research addressed global trade rules, WTO processes, and macroeconomic modelling to support more effective and equitable trade negotiations and policy development.",NA,NA,NA
69,4,"Environment","Climate Change","Climate Change & Environmental Policy","Research in this topic relates to climate change and environmental policy, and studies encompass climate science and modeling, carbon budgets and emissions targets, climate risk assessment, climate communication and public engagement, international climate diplomacy, climate justice and social vulnerability mapping, climate resilience and infrastructure. Research here tends to use modelling and visualisation tools, as well as assessment and data analysis tools to inform policy and organisational decisions.",NA,NA,NA
84,5,"Culture","Exhibitions","Arts, Heritage & Science Exhibitions","Research in this topic informed interactions with art, history and science through innovative exhibitions and technologies. Case studies shaped museum and institutional practices, promoting and enabling greater public engagement with both familiar subjects and underrepresented areas in art, heritage and science. Many used exhibitions as platforms for education, cross-cultural understanding and social inclusion, often generating significant social and economic benefits for host communities. Work in this topic highlights the role of cultural engagement in enhancing social and individual wellbeing and inspiring participation of new, diverse audiences.",NA,NA,NA
54,3,"Technology","Energy","Energy Systems, Decarbonisation","This topic encompasses case studies relating to energy systems and decarbonisation. Studies address areas such as renewable energy technologies, policy development, building energy efficiency, decarbonization and net-zero transitions, smart energy systems, and socio-economic impacts of energy transitions. Research inlcudes both technical solutions (i.e. smart systems, materials for heat storage, solar photovoltaic monitoring, CO2 capture, AI-integrated systems), and policy tools (i.e. energy mapping, economic modeling, regulatory methodologies, community engagement). The work spans from addressing fuel poverty through targeted neighborhood mapping to supporting large-scale policy development for energy directives and decarbonisation strategies.",NA,NA,NA
75,4,"Environment","Food Systems","Food & Agriculture: Systems & Policy","The case studies in this topic cover themes in food and agricultural research, with a focus on systems and policy. Studies look at areas such as food security and resilience, sustainable agricultural transformation and practice, food safety and quality systems, and innovation and policy integration. The topic as a whole showcases developing new technologies, financial tools, and governance frameworks to support food and agricultural transformations at local and international levels.",NA,NA,NA
106,7,"Society","Pensions & Finances","Pensions, Finances, Consumer Protection and Market Regulation","Research in this topic has shaped the regulation of financial services and various goods markets with the goal of protecting consumers and retail investors. Case studies informed policies of key regulatory bodies such as the Financial Conduct Authority and improved various regulations such as oversight of credit cards, payday lending, and complaint handling. Projects enhanced financial literacy and reduced risks linked to gambling, indebtedness, and financial vulnerability. Research drove reforms in insurance and pension practices and regulations, supporting better retirement outcomes and financial security. Contributions also improved market transparency and pricing in housing, pharmaceuticals, and tech products, guided merger and cartel policies, and influenced accounting standards and business regulation to safeguard consumer interests.",NA,NA,NA
118,7,"Society","Exploitative Work","Exploited and Vulnerable Work","Case studies in this topic inform policy, legislation and protective measures for vulnerable workers and groups vulnerable to exploitation, including those affected by modern slavery, human trafficking, illegal sex work and the drug trade. ICSs raise awareness of often unheard or stigmatised experiences, amplifying the voices of marginalised communities to challenge public and institutional perceptions. Work in this topic advocates for more inclusive representation and reforms in national and international legal and policy frameworks to recognise and protect those most affected by exploitative systems.",NA,NA,NA
5,2,"Health","Med. Imaging","Medical Imaging & Monitoring","Research in this topic surrounds the development and utilisation of imaging and assessment techniques for diagnosis, prognosis and monitoring of conditions. Case studies encompass development of sensing and imaging technologies, as well as methods for analysis and use of procured data. Improving accuracy, patient experience and reducing risk are all key elements within the topic.",NA,NA,NA
44,3,"Technology","AI & Smart Machinnes","Robotics, Sensors, AI, Satellite & Image Data and Smart Systems","Research in this topic is applicable to advanced robotics, artificial intelligence, sensor and smart system technologies and image data across a breadth of sectors. Studies encompass autonomous systems for agriculture, manufacturing, and transportation, alongside sophisticated imaging and detection technologies for security, space applications, and industrial monitoring. Case studies demonstrate the commercialisation of AI-powered solutions including computer vision systems, natural language processing tools, and robotic platforms that enhance productivity and safety. The topic aslso includes sensor development for gas detection, structural monitoring, and environmental applications, as well as satellite-based monitoring systems for agricultural and urban planning. Additionally, research covers the integration of these technologies into smart systems that support decision-making, automate complex processes, and enable new capabilities in healthcare, forensics, and public safety applications.",NA,NA,NA
115,7,"Society","Housing & Land","Housing, Neighbourhoods, Urban & Rural Planning","Research in this topic has shaped how cities, towns, and rural areas are planned, built, and governed to promote livability, inclusion, and sustainability. Case studies informed national housing policies, supported legislative reform on housing rights, and influenced regulations on building standards, property valuation, and taxation. Projects helped develop affordable and social housing and gave voice to tenants and community groups in shaping their environments. Providing social and legislative support as well as shelter for the homeless was another major research focus. Research enhanced urban development through virtual city models and spatial planning tools, while also supporting greener cities, accessible public spaces, and integration of diverse populations. In rural areas, research guided strategies to reinvigorate communities and improve local infrastructure and services.",NA,NA,NA
79,4,"Environment","Viruses","Viruses and Vaccines","Research in this topic focuses on approaches to viral disease prevention and control. Vaccine development, strategy and policy is an important component of this, at national and global level. Additionally new anti-viral treatments and diagnostics are included, alongside mathematical modeling and data analysis, epidemic response, and some virus-specific research (i.e. genomic studies). There is additionally a contingent of studies with focus on health policy, global health impact and access equity for virus control and vaccine deployment.",NA,NA,NA
3,1,"Cancer","Cancer (various)","Cancer Treatments","This research topic focuses on cancer treatments, support and care for patients. Key themes included are early detection and screening innovations, precision medicine and targeted therapies and treatment technologies. There's a strong emphasis on patient-centered care that prioritises the overall experience and wellbeing of cancer patients. Elements of clinical guidance, policy and service management specific to cancer are also included.",NA,NA,NA
8,2,"Health","Neurology","Neurological & Neuropsychiatric Treatments and Rehabilitation","Case studies in this topic contain research surrounding neurological and neuropsychiatric diseases and their management. Studies include development of new treatments, treatment management, assessment, diagnosis and imaging. Furthermore, healthcare services for long-term support and rehabiliation are included, along with clinical practice guidelines and policy specific to this disease area.",NA,NA,NA
80,4,"Environment","Malaria","Malaria & Tropical Diseases","Research in this topic investigates malaria and tropical diseases, this includes understanding disease burden and achieving disease control through policy and strategy, awareness and prevention. Modelling of tropical diseases, healthcare access, economics and regulations are all encompassed, as are treatments, drug development and diagnostics. Studies into vector control for malaria and tropical diseases are also inlcuded.",NA,NA,NA
133,7,"Society","Migration","Migration Policy, Integration, Rights","Research in this topic has shaped migration policy, supported migrant integration, and amplified migrant and refugee voices in public life. Projects informed international, national and local policies, improved data on migration flows, and guided service provision for migrant youth and communities. Research supported NGOs, enhanced legal protections, and addressed challenges such as racism, trafficking, and smuggling networks. Following Brexit, studies helped adapt UK migration policy and underpinned public discourse with research based insights. Creative and co-curated initiatives—ranging from arts-based events to faith-led global efforts—helped struggling populations, raised awareness and shared the lived experiences of refugees,migrants and diasporas, fostering empathy, inclusion, and evidence-based engagement.",NA,NA,NA
9,2,"Health","Cardiovascular","Cardiovascular Health","The case studies in this topic relate to research into cardiovascular health. This covers all aspects of cardiovascular health from treatments and management of conditions, to drug and device development, diagnosis, imaging and monitoring of conditions. It also inludes resarch informing clinical practice guielines, patient safety guidance, screening and prevention, and risk management strategies for patients. Finally, studies into public awareness and action for improved public health are included.",NA,NA,NA
37,2,"Health","Global Health","Global Health / Health Guidance & Regulation","Case studies in this topic are underpinned by global health impacts in healthcare guidance and regulation. This includes reasearch studies into areas such as healthcare policy, access and equity, economics, strategy and resource management. There are also studies into medical developments, such as diagnostics and treaments, healthcare decision making, and clinical practice guidance with globally-reaching impact.",NA,NA,NA
1,1,"Cancer","Prostate Cancer","Prostate Cancer","This topic includes case studies pertaining to prostate cancers, including health policy surrounding prostate cancers, as well as treatments and therapies, clinical practise standards, and screening, imaging, diagnostics, prognoses for patients.",NA,NA,NA
107,7,"Society","Macro & Finance","Macroeconomics, Monetary policy, Financial Markets & Banking","Research in this topic has strengthened the design, governance, and resilience of financial and monetary systems. Case studies informed central banks—including the Bank of England, ECB, US Federal Reserve, and others globally—on monetary policy and interventions, debt sustainability, bond auction designs and macroprudential policies. Work shaped the toolkit available for responses to financial crises through new bank rescue and stress testing schemes, and systemic risk mitigation strategies. Central Banks were equipped with improved research based tools influencing interest rate decisions, credit risk assessment, and financial market stability. Research also improved more general macroeconomic modelling, forecasting, and official statistics.. Projects also supported regulatory reform in banking and credit sectors. Many mathematical and computational research projects advanced asset and option pricing tools in financial markets. They also informed ESG investment strategies, digital banking innovation, and inclusive practices such as microfinance.",NA,NA,NA
97,6,"Education","Literacy & Reading","Literacy & Reading","Case studies in this topic focus on educational and therapeutic initiatives and practical provisions that promote literacy and reading practices. Work provides innovative, research-informed approaches to reading comprehension, informing educational policies and supporting adoption of new teaching methods and tools across schools and adult learning settings. Many studies promote public engagement with reading at all stages of life, and underpinned provisions such as funding for public libraries and widening access to reading-related technologies.",NA,NA,NA
16,2,"Health","Med. Treatments","Advances in Medical Treatments & Therapies","This topic focuses on advances in medical treatments and therapies including the development, evaluation, and implementation of treatment options for patients. Studies encompass diagnostics, clinical decision-making, and management strategies that inform treatments and therapies used, as well as the research and development of new treatments. Case studies also often discuss policy and standards of care. The topic includes a broad range of disease areas and treatment types.",NA,NA,NA
12,2,"Health","Anti-Microbials","Antibiotics, Infections & Microbes","Research in this topic has improved the prevention, diagnosis and treatment of infectious diseases and addressed the global challenge of antimicrobial resistance (AMR). Work has shaped international guidelines on antibiotic stewardship, transformed national infection control policies, and reduced antimicrobial use in both human and veterinary medicine. Studies have accelerated drug discovery, including new antibiotic classes and antifungals, and advanced therapies for tuberculosis, Clostridioides difficile, and aspergillosis among others. Researchers have influenced WHO strategies, developed infection-resistant materials and hospital technologies, and improved novel genomic diagnostics. Communication, design, and systems-based interventions have also supported better public and clinical engagement with AMR.",NA,NA,NA
104,6,"Education","Disability Inclusion","Disability Inclusion","Case studies in this topic raise awareness of disabilities and offer technological and therapeutic innovations to support those living with disabilities across a range of settings. Work informs public education, institutional policy, and practical interventions aimed at changing attitudes and improving social participation for people with disabilities. Many focused on enhancing educational provisions and outcomes for disabled individuals. Work in arts and performance plays a key role in promoting inclusive practices and fostering meaningful connection between disabled and non-disabled communities.",NA,NA,NA
55,3,"Technology","Electricity","Electrical Power & Networks","Research in this topic has advanced the design, control and resilience of modern electricity systems, supporting a global shift toward low-carbon and decentralised energy. Innovations have enhanced the efficiency and reliability of power transmission and distribution—particularly in integrating offshore renewables and balancing AC/DC networks. Projects informed smart grid development, demand-side flexibility, and equitable access through minigrids in remote and underserved areas. New modelling and simulation tools have shaped energy infrastructure planning, improved overvoltage protection, and underpinned the UK’s electricity capacity market. Work has also driven international renewable deployment, reduced emissions, and enabled novel technologies for microgeneration, such as microbial fuel cells for off-grid sanitation and lighting.",NA,NA,NA
13,2,"Health","Organs","Organs: Transplants, Research, Treatments","Research in this topic has transformed organ donation and transplant systems, advanced kidney and liver preservation technologies, and improved treatments for various organ conditions. Work has informed national organ allocation strategies and public health campaigns, with particular impact on reducing inequalities in donor registration. Innovations have enhanced viability and utilisation of donor organs and improved survival outcomes among others in dialysis and nephrotic syndrome care. Genetic insights and precision therapies have shaped guidelines and enabled earlier, more effective interventions for adults and children worldwide.",NA,NA,NA
129,7,"Society","Women","Women's Rights, Representation, History","Case studies in this topic focus on contemporary and historical feminist initiatives for women’s rights and histories. Work informed gender-sensitive reforms in government, legislation, and global politics. ICSs address the protection of women’s rights and celebration of women’s historic and contemporary contributions at local, national and international levels. Work also promotes public education and engagement, fostering deeper understanding of both past and present struggles and achievements in the pursuit of gender equality.",NA,NA,NA
88,5,"Culture","Therapeutic Arts","Arts & Humanities for Health & Wellbeing","Case studies in this topic used research-informed performance, theatre, and creative arts as tools for therapeutics, health and education. This included drawing on historical and philosophical approaches to mental wellbeing, performance in hospice settings, and somatic arts to aid in patient care and communication as well as supporting practitioner resilience and wellbeing. Work also raises awareness of societal and environmental issues and empowers marginalised voices through innovate forms of expression and creative collaboration. These approaches contribute to cultural understanding and inform policy related to health, wellbeing and social care for specific groups.",NA,NA,NA
103,6,"Education","Neurodevelopment","Neurodevelopmental Disorders & Disabilities","This topic centres on research and practice related to neurodevelopmental conditions, such as autism, ADHD, and cerebral palsy. Case studies explore themes such as diagnosis, therapies, and ongoing support; equitable access to services; inclusive education and workplace integration; and policy frameworks promoting patient and carer well-being. Broader considerations include cultural awareness, professional training, and health and social care systems for support of neurodivergent individuals across the lifespan.",NA,NA,NA
63,3,"Technology","Appl. Physics & Chem.","Industrial/Commercial Physics & Chemistry Applications","Case studies in this topic focus on research and development of advanced physics and chemistry technology with a strong emphasis on real-world application. Studies are broad bringing together enabling technologies (i.e. quantum systems, photonics, semiconductors, electromagnetic, chemical technologies) with application-driven sectors (i.e. maufacturing, analytics, space, catalysis, healthcare, electronics). There’s also a clear through-line of commercial and entrepreneurial focus, connecting early-stage R&D with scalable industry solutions via start-ups, investment, and technology transfer. The breadth of themes within the topic to reflect interdisciplinary integration and real-world impact of the studies.",NA,NA,NA
93,5,"Culture","Holocaust and WWII","Holocaust & World War II","Case studies in this topic focus on official histories, commemoration practices and the role of historical memory in reconciliation around the second world war. Many worked to document and preserve and the experience of a range of groups, often in collaboration with survivors, local archives, and communities. Particular attention is on contested cultural histories and ‘forgotten’ voices of vulnerable or minority communities in World War II. Emphasis is placed on education and open archives to inform public and institutional understandings, fostering constructive engagement with complex and sensitive histories. This includes German, Russian and Holocaust narratives, and their commemoration and reconciliation for community wellbeing.",NA,NA,NA
99,6,"Education","Teaching","Teaching, Training & Education Policy","Case studies in this topic are concerned with all aspects of teaching and education, shaping policy and approaches to foster better experiences and outcomes for both teachers and learners. They focus on enhancing teaching and education through training educators and developing research-based pedagogical tools and approaches to improve learning outcomes across all education levels, from early years to universities, vocational training and apprenticeships. Case studies shaped curriculum reform and the modernisation of teaching methods, often through integrating technology in the classroom. Emphasis is placed on equity and inclusivity, informing policies and interventions that promote access to education for diverse learners and that support lifelong learning.",NA,NA,NA
95,6,"Education","Language & Linguistics","Language, Linguistics & Culture","Case studies in this topic support the teaching, preservation and revitalisation of languages to reclaim and promote heritage and cultural identities, and to broaden horizons in an increasingly globalised world. Many focused on safeguarding endangered languages and improving access to linguistic resources through digitisation, community collaboration, and public outreach. Work also focused on education and pedagogical approaches to reading and language, promoting foreign language learning and supporting multilingualism. Many trialled innovative approaches, new technologies, and developments in teacher training to enrich language education for teachers, learners, and public worldwide.",NA,NA,NA
101,6,"Education","Social Work","Social Work and Support","Case studies in this topic support a range of initiatives and policies improving the care, wellbeing and legal rights and protection of women, children and families. ICSs span diverse settings, informing childcare services, early childhood interventions, support for children in care and those with disabilities, and strategies to reduce poverty and inequalities. There is strong emphasis on amplifying the voices of children ,young people and adolescents to guide social interventions and policy reform. It also informs education for parents and practitioners, contributing to national and international politics on family care and parental rights. Research also addresses legal and practical support for victims of domestic abuse and sexual violence, shaping public awareness, legislation and institutional responses.",NA,NA,NA
127,7,"Society","Pol. Institutions","Political Institutions and Public Participation","Research in this topic has strengthened democratic institutions and expanded opportunities for citizen engagement. Projects shaped legislation and practice on freedom of information, lobbying transparency, and judicial independence, while seeking ways to improve parliamentary practices in the four nations of the UK, the EU and globally. Research enhanced democratic accountability by supporting electoral participation, public petitions, and citizen assemblies. Digital tools and arts-based initiatives promoted active citizenship and civic inclusion, especially among underrepresented groups. Studies empowered grassroots movements, influenced constitutional reform, and deepened public trust in political processes through more transparent, participatory decision-making.",NA,NA,NA
25,2,"Health","Pain","Pain Management and Palliative Care","Case studies in this topic focus on research pertaining to pain management and palliative care, for example considering improvement of policy, of public and professional education, and of service provision for patients. Pain assessment and management are included for a range of patient groups, from chronic to long-term conditions and young patients. End-of-life care and ethics and decision-making for patients is also incorporated in the topic.",NA,NA,NA
105,6,"Education","Inclusive Design & Art","Inclusive Design & Art","Case studies in this topic used novel design and design approaches to improve accessibility and inclusion for diverse and often vulnerable groups, with a particular focus on disabled communities. Research emphasised user-centred design, driving innovation and improving understanding of varied needs across multiple settings, including the creative arts, healthcare and urban environments. Case studies demonstrate how inclusive design can foster greater participation, equity and empowerment through thoughtful, responsive design approaches.",NA,NA,NA
38,2,"Health","Health Access","Healthcare Access & Equity","This topic includes case studies focussed on healthcare access and equity. Subject matter includes equity of health service provision, access to healthcare, social care and health information, and to community and social enterprises for health and well-being. Additionally, healthcare systems, policy, funding, investment and spending all feature in this topic with a focus on improving access and equity of healthcare.",NA,NA,NA
100,6,"Education","Higher Ed","Higher Education, Universities","Case studies in this topic focus on higher education and universities, their policies, education practices, institutional culture and student experiences. They address issues such as preventing abuse and harassment both online and offline. There is a strong emphasis on inclusivity and widening access for underrepresented groups, promoting equity and improved participation and outcomes. Research also informed curriculum development and pedagogical innovation, such as cross-cultural collaboration and personalised learning support. Research informs policy and practice that enhances the global role of universities and their place in shaping narratives around social mobility, migration, and freedom of information.",NA,NA,NA
18,2,"Health","Sports","Sports","Case studies in this topic focus on provisions for sporting environments and opportunities safe from abuse or discrimination and promote the potentials for sport to support wider social and political change. Work highlighted sport’s potential to enhance health, social change, wellbeing and community cohesion at all levels of participation, from grassroots to elite performance. Research advanced coaching strategies and athlete development and achievement, as well as underpinning initiatives to improve the health and wellbeing of athletes and general public alike at all levels of recreational and professional participation. Case studies supported ethical practices in sport, including anti-doping measures and enforcing duties of care held by coaches and institutions, and opened discourse around harmful competitive cultures.",NA,NA,NA
102,6,"Education","Children","Children: Care, Development, Education, Rights, Health","Research in this topic supported national and international efforts to improve outcomes for children by informing child-focused policies, care systems and educational practices. Case studies underpinned governmental and non-governmental services and policies which address childcare provision, safety, education, wellbeing and legal rights, especially for children in care, with disabilities, or facing poverty. Many worked to centre children’s voices and agency, improving their participation in shaping services that impact their lives. Work also informed safeguarding practices, including protection from abuse and emerging online threats.",NA,NA,NA
36,2,"Health","Smoking","Tobacco & Smoking","The case studies in this topic focus on research around tobacco and smoking, this includes health research into smoke and second-hand smoke impacts, as well as for alternatives (i.e. e-cigarettes). Studies also cover policy and law, marketing ethics and public messaging, generally focussed on reducing usage and the impacts of smoking on public health and wellbeing.",NA,NA,NA
42,3,"Technology","Cybersecurity","Cybersecurity, Online Safety & Data Protection","Research in this topic has shaped the technologies, policies, and practices that safeguard digital infrastructure, protect privacy, and combat cybercrime. Projects have informed national and international cybersecurity standards, strengthened industrial and governmental incident response, and guided inclusive, human-centred approaches to digital risk. Work has enabled secure encryption, privacy-preserving computation, and AI-driven cyber threat detection across sectors—from aviation to healthcare. Researchers have improved online safety for children, influenced data protection regulation, and supported digital resilience for small businesses.",NA,NA,NA
17,2,"Health","Hereditary Disorders","Hereditary/Genetic & Neurodegenerative Diseases","This portfolio of research addresses neurodegenerative and genetic diseases, and particularly focuses on therapeutic development and clinical management. The research encompasses treatments and therapies, including drug development, diagnostic services, and improvements to care services, clinical guidelines and policies. It also considers holistic patient care, incorporating case studies on patient and family support for improved quality of life.",NA,NA,NA
40,3,"Technology","Biometrics","Speech & Facial Modelling, Biometrics","Research in this topic has advanced the use of biometric data for security, identity verification, health, and justice. Projects enabled reliable speech and facial recognition, forensic voice and DNA analysis, and the creation of realistic synthetic speech and animation. Innovations have supported refugee identification, border control, and forensic investigations, while also transforming accessibility and communication for people with speech impairments. Work shaped public and commercial use of biometric technologies, influenced policing practice, and guided policy on ethical and algorithmic governance of biometric systems.",NA,NA,NA
