,All,Panel A,Panel B,UoA4,Panel C,Panel D
Higher Education Innovation Fund,0.07,,0.1,,0.09,0.11
London School of Economics and Political Science,0.07,0.03,,,0.13,0.11
"National Endowment for Science, Technology and the Arts",0.07,,,,0.13,0.14
University of Nottingham,0.07,0.05,0.07,,0.07,0.11
Marie Curie,0.07,0.13,0.03,0.14,0.04,0.07
Prostate Cancer UK,0.07,0.27,,,,
Boehringer Ingelheim,0.07,0.27,,,,
UK Space Agency,0.06,,0.24,,0.04,
Breast Cancer Now,0.06,0.19,0.07,,,
Sport England,0.06,0.03,,,0.18,
Google,0.06,0.03,0.14,0.14,0.07,0.04
US Agency for International Development,0.06,0.19,,,0.04,
English Heritage,0.06,0.03,0.1,,0.07,0.07
Dunhill Medical Trust,0.06,0.24,,0.27,,
Sixth Framework Programme,0.06,0.08,0.07,,0.02,0.07
"Department of Digital, Culture, Media and Sport",0.06,,0.1,,0.09,0.04
Isaac Newton Trust,0.06,0.03,,,0.04,0.18
UKGOV,0.06,0.03,0.1,0.14,0.04,0.07
Creative Scotland,0.06,,,,0.04,0.21
Rolls-Royce,0.06,,0.28,,,
National Geographic Society,0.06,0.05,0.03,,0.07,0.07
Alzheimer's Society,0.06,0.19,,,,0.04
University of Glasgow,0.06,,0.03,,0.04,0.18
Office for National Statistics,0.06,,0.07,,0.13,
Agriculture and Horticulture Development Board,0.06,0.22,,,,
World Wide Fund for Nature,0.06,0.16,,,0.04,
Office for Students,0.05,,,,0.11,0.07
Novartis,0.05,0.16,0.03,,,
European Parliament,0.05,0.03,,,0.11,0.04
UK-India Education and Research Initiative,0.05,,0.17,,0.04,
Higher Education Funding Council for Wales,0.05,0.03,0.1,,0.04,0.04
John Templeton Foundation,0.05,0.03,,0.14,0.04,0.14
Gatsby Charitable Foundation,0.05,,,,0.16,
Health and Safety Executive,0.05,,0.14,,0.04,0.04
Johnson & Johnson,0.05,0.13,0.07,,,
National Institute for Health and Care Excellence,0.05,0.08,0.03,,0.07,
Health Education England,0.05,0.11,,,0.02,0.07
Scottish Natural Heritage,0.05,0.05,0.1,,0.04,
Department for Work and Pensions,0.05,0.03,,0.14,0.13,
BAE Systems,0.05,,0.14,,0.04,0.04
UK Sport,0.05,,,,0.16,
National Trust,0.05,,,,0.02,0.21
National Society for the Prevention of Cruelty to Children,0.05,0.05,,0.14,0.11,
Fight for Sight,0.05,0.19,,0.55,,
Knowledge Transfer Partnership,0.05,0.03,0.17,,0.02,
World Anti-Doping Agency,0.04,0.05,0.03,0.14,0.07,
Organisation for Economic Co-operation and Development,0.04,,0.03,,0.11,
Historic England,0.04,,,,0.11,0.04
United Nations Environment Programme,0.04,0.03,0.03,,0.09,
Siemens,0.04,,0.21,,,
Andrew W. Mellon Foundation,0.04,,0.03,,,0.18
Commission of the European Communities,0.04,0.08,0.03,,0.04,
The Academy of Medical Sciences,0.04,0.16,,,,
Wolfson Foundation,0.04,0.11,0.03,,,0.04
EDF Energy,0.04,,0.17,,0.02,
National Science Foundation,0.04,0.03,0.07,,0.02,0.07
Barrow Cadbury Trust,0.04,,,,0.11,0.04
Yorkshire Cancer Research,0.04,0.16,,0.14,,
National Institute of Health Research,0.04,0.11,0.07,,,
University of Bristol,0.04,0.03,,,0.07,0.07
"Department for the Economy, NI",0.04,0.05,0.07,,0.02,0.04
University of Birmingham,0.04,0.03,,,0.04,0.11
Food Standards Scotland,0.04,0.11,0.03,,0.02,
Janssen,0.04,0.16,,,,
Rail Safety and Standards Board,0.04,,0.17,,0.02,
European and Developing Countries Clinical Trials Partnership,0.04,0.16,,,,
Shell,0.04,,0.17,,0.02,
"Department for Employment and Learning, NI",0.04,0.05,0.14,,,
Carnegie Trust for the Universities of Scotland,0.04,0.03,,,,0.18
Public Health England,0.04,0.11,,,0.02,0.04
Equality and Human Rights Commission,0.04,,,,0.11,0.04
UK Cabinet Office,0.04,0.03,,,0.09,0.04
Unilever,0.04,0.11,,0.14,0.02,
National Grid,0.04,,0.14,,0.02,
Royal Institution of Chartered Surveyors,0.04,,,,0.11,
MS Society,0.04,0.08,0.03,0.14,0.02,
European Institute of Innovation and Technology,0.04,0.13,,,,
Trust for London,0.04,,,,0.11,
Church of England,0.04,,,,0.11,
Novo Nordisk,0.04,0.11,,,0.02,
Humanities in the European Research Area,0.04,,,,0.04,0.11
Gilead Sciences,0.04,0.13,,,,
Sir Halley Stewart Trust,0.04,0.05,,,0.02,0.07
Department of Homeland Security,0.04,,0.17,,,
National Aeronautics and Space Administration,0.04,0.03,0.07,,0.04,
University of Exeter,0.04,,,,0.09,0.04
Arcadia Fund,0.04,,,,0.04,0.11
Comic Relief,0.04,0.03,,,0.09,
Sutton Trust,0.04,,,,0.11,
Bupa Foundation,0.04,0.05,,,0.02,0.07
Qatar National Research Fund,0.04,0.05,0.07,0.14,0.02,
Met Office,0.04,,0.17,,,
United Nations,0.04,,0.03,,0.09,
Healthcare Quality Improvement Partnership,0.04,0.08,,0.14,0.04,
Macmillan Cancer Support,0.04,0.13,,,,
Oak Foundation,0.04,0.05,,0.14,0.04,0.04
Particle Physics and Astronomy Research Council,0.04,,0.17,,,
"United Nations Educational, Scientific and Cultural Organization",0.04,,,,0.09,0.04
University of Cambridge,0.04,0.05,0.03,0.14,0.04,
European Science Foundation,0.04,0.05,0.03,0.27,,0.07
Road Safety Trust,0.04,0.11,,0.55,0.02,
Scottish Universities Insight Institute,0.04,0.03,,0.14,0.07,0.04
Innovative Medicines Initiative,0.04,0.08,0.07,,,
Ministry of Education,0.04,0.03,0.07,,0.02,0.04
University of Sussex,0.04,0.05,0.07,,0.02,
Japan Society for the Promotion of Science,0.04,,,,0.07,0.07
College of Optometrists,0.04,0.13,,,,
Guy’s & St Thomas’,0.04,0.11,0.03,,,
University College London,0.04,0.03,0.1,0.14,0.02,
Wellbeing of Women,0.04,0.13,,0.14,,
Highlands and Islands Enterprise,0.03,,0.07,,0.04,
"Public Health Agency, NI",0.03,0.11,,,,
Enhancing Learning and Research for Humanitarian Assistance,0.03,0.05,0.03,,,0.04
Greater London Authority,0.03,0.03,,,0.07,
College of Policing,0.03,,,,0.09,
AXA,0.03,0.08,,,0.02,
National Endowment for the Humanities,0.03,,,,,0.14
South West Water,0.03,,0.03,,0.07,
Swedish Research Council,0.03,0.05,,0.14,0.04,
UNITAID,0.03,0.11,,,,
Health Data Research UK,0.03,0.08,0.03,,,
One North East,0.03,,0.07,,0.04,
"Department of Health, NI",0.03,0.08,,,0.02,
Zoological Society of London,0.03,0.08,0.03,,,
Network Rail,0.03,0.03,0.07,,0.02,
Great Britain Sasakawa Foundation,0.03,,,,0.02,0.11
English Institute of Sport,0.03,,,,0.09,
EUROCONTROL,0.03,,0.07,,0.04,
European Commision,0.03,,0.03,,0.04,0.04
Alexander von Humboldt Foundation,0.03,0.03,,,0.02,0.07
International Development Research Centre,0.03,,0.03,,0.07,
Education Scotland,0.03,,,,0.09,
Low Pay Commission,0.03,,,,0.09,
Manchester City Council,0.03,,0.03,,0.04,0.04
Daphne Jackson Trust,0.03,0.03,0.1,,,
British Library,0.03,,,,0.02,0.11
Advance HE,0.03,0.03,,,0.07,
Forces in Mind Trust,0.03,0.03,,0.14,0.07,
UK Clinical Research Collaboration,0.03,0.11,,,,
Airbus,0.03,,0.14,,,
Electoral Commission,0.03,,,,0.09,
Independent Social Research Foundation,0.03,,,,0.04,0.07
Government Communications Headquarters,0.03,,0.14,,,
Blood Cancer UK,0.03,0.11,,,,
Partnership for Clean Competition,0.03,0.03,0.1,,,
Microsoft,0.03,,0.14,,,
Robertson Foundation,0.03,0.11,,,,
Health Research Board,0.03,0.11,,0.14,,
Multiple Sclerosis Society,0.03,0.11,,0.27,,
BUPA Foundation,0.03,0.11,,0.27,,
National Health and Medical Research Council,0.03,0.11,,0.14,,
HM Revenue and Customs,0.03,,,,0.09,
International Olympic Committee,0.03,0.03,,0.14,0.04,0.04
Health Protection Scotland,0.03,0.08,0.03,,,
Scottish Institute for Policing Research,0.03,,0.03,,0.07,
Council of Europe,0.03,,,,0.09,
Greater Manchester Combined Authority,0.03,,0.03,,0.04,0.04
Bank of England,0.03,,0.03,,0.07,
East Midlands Development Agency,0.03,,0.1,,0.02,
Burdett Trust for Nursing,0.03,0.11,,0.14,,
Welsh European Funding Office,0.03,0.03,0.1,,,
Financial Reporting Council,0.02,,,,0.07,
Tommy's,0.02,0.08,,,,
National Institute of Allergy and Infectious Diseases,0.02,0.08,,,,
British Medical Association,0.02,0.03,,0.14,0.02,0.04
Santander,0.02,,,,0.04,0.04
Cornwall Council,0.02,,,,0.04,0.04
Chronic Disease Research Foundation,0.02,0.05,0.03,,,
Bord na Gaidhlig,0.02,,,,,0.11
Soillse,0.02,,,,,0.11
UK Government,0.02,,0.03,,0.02,0.04
Faraday Institution,0.02,,0.1,,,
Cerebra,0.02,0.08,,0.27,,
Royal National Lifeboat Institution,0.02,,,,0.07,
Society of Legal Scholars,0.02,,,,0.07,
Candlelighters,0.02,0.08,,,,
Transport for London,0.02,,0.03,,0.02,0.04
Bone Cancer Research Trust,0.02,0.08,,,,
Transport Research Laboratory,0.02,0.05,,0.27,0.02,
Mohamed bin Zayed Species Conservation Fund,0.02,0.05,0.03,,,
Leadership Foundation for Higher Education,0.02,,,,0.07,
Ministry of Foreign Affairs,0.02,,0.03,,0.02,0.04
Historic Environment Scotland,0.02,,,,0.02,0.07
Merck,0.02,0.08,,,,
University of Huddersfield,0.02,,,,0.07,
Radioactive Waste Management,0.02,0.03,0.03,,0.02,
Abdul Latif Jameel Poverty Action Lab,0.02,,,,0.07,
Deutsche Forschungsgemeinschaft,0.02,,0.03,,0.02,0.04
Gordon and Betty Moore Foundation,0.02,,0.07,,0.02,
Winston Churchill Memorial Trust,0.02,0.03,,,,0.07
Teenage Cancer Trust,0.02,0.08,,,,
US Office of Naval Research,0.02,0.03,0.07,,,
QinetiQ,0.02,,0.1,,,
Heart Research UK,0.02,0.05,,,0.02,
Thomas Pocklington Trust,0.02,,,,0.07,
Spanish Government,0.02,0.03,,,,0.07
Office of Gas and Electricity Markets,0.02,,0.1,,,
Crown Estate,0.02,,0.07,,0.02,
University Global Partnership Network,0.02,,0.03,,,0.07
Youth Sport Trust,0.02,,,,0.07,
Higher Education Innovation Funding,0.02,0.03,,,,0.07
John Ellerman Foundation,0.02,0.03,0.03,,,0.04
British Psychological Society,0.02,0.08,,0.14,,
Waltham Foundation,0.02,0.05,0.03,,,
Financial Conduct Authority,0.02,,,,0.07,
Yorkshire Water,0.02,,0.03,,0.04,
Muscular Dystrophy UK,0.02,0.08,,,,
Gerda Henkel Stiftung,0.02,,,,,0.11
University of Warwick,0.02,,,,0.07,
Age UK,0.02,0.03,,,0.04,
UK Energy Research Centre,0.02,,0.03,,0.04,
Colgate,0.02,0.08,,,,
"Department for Digital, Culture, Media and Sport",0.02,,0.03,,0.02,0.04
Newcastle Healthcare Charity,0.02,0.08,,,,
Templeton World Charity Foundation,0.02,,,,,0.11
Coventry City Council,0.02,0.03,,,0.04,
Department of Science and Technology,0.02,0.03,0.03,,0.02,
AbbVie,0.02,0.08,,,,
BIAL Foundation,0.02,0.08,,0.41,,
BBC,0.02,,,,0.04,0.04
Fifth Framework Programme,0.02,,0.1,,,
"Centre for Environment, Fisheries and Aquaculture Science",0.02,0.05,0.03,,,
University of London,0.02,0.03,,0.14,,0.07
Burdett Trust for Nursing  for Nursing,0.02,0.05,,,0.02,
Highways England,0.02,,0.03,,0.04,
Johnson Matthey,0.02,,0.1,,,
Office of the Deputy Prime Minister,0.02,,,,0.07,
Office for Fair Access,0.02,,,,0.07,
Advanced Propulsion Centre,0.02,,0.1,,,
Chartered Institute of Personnel and Development,0.02,,,,0.07,
Getty Foundation,0.02,,,,,0.11
"Department for Children, Schools and Families",0.02,,,,0.02,0.07
Proctor and Gamble,0.02,0.05,0.03,,,
Education and Training Foundation,0.02,,,,0.07,
Wellcome Collection,0.02,,,,,0.11
Government Equalities Office,0.02,,,,0.07,
A.G. Leventis Foundation,0.02,,,,,0.11
Meningitis Research Foundation,0.02,0.08,,,,
National Archives,0.02,,,,,0.11
Ministry of Science and Technology,0.02,,0.03,,0.04,
Department of Health and Human Services,0.02,0.08,,,,
Northern Ireland Environment Agency,0.02,0.03,,,0.04,
Norwegian Agency for Development Cooperation,0.02,0.03,,,0.02,0.04
National Centre for Research Methods,0.01,,0.03,,0.02,
Toyota Foundation,0.01,,,,0.04,
Allergan,0.01,0.03,0.03,,,
North Staffordshire Primary Care Research Consortium,0.01,0.05,,,,
Culham St Gabriels Trust,0.01,,,,0.04,
Department of Health and Public Health Agency,0.01,0.05,,0.27,,
UK Commission for Employment and Skills,0.01,,,,0.04,
National Council of Science and Technology,0.01,0.03,,,0.02,
Responsible Gambling Trust,0.01,0.03,,0.14,0.02,
Esmée Fairbairn Trust,0.01,,,,0.04,
Preston City Council,0.01,,,,0.02,0.04
Blue Marine Foundation,0.01,,0.03,,0.02,
University of East London,0.01,,,,0.04,
Documentation Centre for Music,0.01,,,,,0.07
BBC Trust,0.01,,,,,0.07
Pears Foundation,0.01,,,,0.02,0.04
Centers for Disease Control and Prevention,0.01,0.03,,,0.02,
Altera Cooperation,0.01,,0.07,,,
Scottish Executive Health Department,0.01,0.05,,0.14,,
Army Research Office,0.01,,0.07,,,
Foundation for Innovative New Diagnostics,0.01,0.05,,,,
Hewlett Packard,0.01,,0.03,,,0.04
German Research Foundation,0.01,,0.03,,,0.04
The Inspire Foundation,0.01,0.03,0.03,,,
IBioIC,0.01,,0.07,,,
Paul Mellon Centre for Studies in British Art,0.01,,,,,0.07
Staffordshire Fire and Rescue Service,0.01,0.03,,,0.02,
Kidney Research UK,0.01,0.05,,,,
Mac AIDS Fund,0.01,0.03,,,0.02,
Army Research Laboratory,0.01,,0.07,,,
European Maritime and Fisheries Fund,0.01,,0.03,,0.02,
Sanofi Aventis,0.01,0.05,,,,
Program for Appropriate Technology in Health,0.01,0.05,,,,
Birmingham City Council,0.01,,0.03,,0.02,
International Social Science Council,0.01,,,,0.04,
Stockport Metropolitan Borough Council,0.01,,,,0.04,
Society for Research into Higher Education,0.01,,,,0.02,0.04
Glasgow Centre for Population Health,0.01,,,,0.02,0.04
Lloyds Register Foundation,0.01,,0.07,,,
Charity Commission for England and Wales,0.01,,,,0.04,
ClimateXChange,0.01,,,,0.04,
UCB Pharma,0.01,0.05,,,,
Leibniz Institute for Contemporary History Munich-Berlin,0.01,,,,,0.07
Templeton Foundation,0.01,,,,,0.07
NordForsk,0.01,,,,0.04,
Health and Care Research Wales,0.01,,0.07,,,
Canadian Institutes of Health Research,0.01,0.03,,0.14,,0.04
Office of the Children's Commissioner,0.01,,,,0.04,
Scottish and Southern Energy,0.01,,0.03,,0.02,
Children's Commissioner for England,0.01,,,,0.02,0.04
Investment Property Forum,0.01,,,,0.04,
British Telecommunications,0.01,,0.07,,,
Swiss National Science Foundation,0.01,0.03,,0.14,,0.04
Ørsted,0.01,,0.07,,,
National Gallery of Art,0.01,,,,,0.07
"Department of Agriculture, Food and the Marine",0.01,0.05,,,,
Ulverscroft Foundation,0.01,0.03,,0.14,,0.04
R.L. Thomas Endowment,0.01,,,,,0.07
National Research Network for the Maintenance and Revitalisation of Gaelic Language and Culture,0.01,,,,,0.07
Calouste Gulbenkian Foundation,0.01,,,,,0.07
Jaguar Land Rover,0.01,,0.03,,0.02,
Northumberland County Council,0.01,,,,0.02,0.04
UK Research and Innovation (UKRI),0.01,,0.03,,0.02,
Waterloo Foundation,0.01,0.03,,,0.02,
Northern Ireland Commissioner for Children and Young People,0.01,,,,0.04,
Liverpool City Council,0.01,,,,0.04,
Scottish Power,0.01,,,,0.04,
"Department of Culture, Arts and Leisure, NI",0.01,,,,,0.07
Ministry of Science and Innovation,0.01,,,,,0.07
European Structural and Investment Funds,0.01,,,,0.04,
Titan IC Systems,0.01,,0.07,,,
Stoke-on-Trent City Council,0.01,0.05,,,,
European Investment Bank,0.01,,,,0.04,
Union of European Football Associations,0.01,,,,0.04,
Horserace Betting Levy Board,0.01,0.03,,,0.02,
Dyson,0.01,,0.07,,,
Royal Geographical Society,0.01,,0.07,,,
Cardiac Risk in the Young,0.01,0.03,,,0.02,
Svenska Spel,0.01,0.03,,0.14,0.02,
Epilepsy Research UK,0.01,0.05,,0.14,,
Gates Foundation,0.01,0.03,0.03,,,
Parkinson’s UK,0.01,0.05,,,,
Sanofi,0.01,0.05,,,,
Enterprise Research Centre,0.01,,,,0.04,
Welsh Water,0.01,,0.07,,,
British Foreign and Commonwealth Office (FCO),0.01,,,,,0.07
Skills for Care,0.01,,,,0.04,
International Initiative for Impact Evaluation,0.01,,,,0.04,
Medical Research Council (MRC),0.01,0.05,,0.14,,
D2N2 Local Enterprise Partnership,0.01,,,,0.04,
British Lung Foundation,0.01,0.05,,,,
Broadcasting Authority of Ireland,0.01,,,,,0.07
Northern Ireland Department for the Economy,0.01,0.03,0.03,,,
Pharmacy Research UK,0.01,0.05,,,,
Aerospace Technology Institute,0.01,,0.07,,,
Ferens Education Trust,0.01,,,,0.02,0.04
Sanofi-Aventis,0.01,0.05,,,,
Royal Town Planning Institute,0.01,,,,0.04,
Froebel Trust,0.01,,,,0.04,
KPMG,0.01,0.03,,0.14,0.02,
"Chest, Heart & Stroke Scotland",0.01,0.05,,0.27,,
Hong Kong Jockey Club,0.01,0.03,,0.14,0.02,
Schlumberger Foundation,0.01,0.03,0.03,,,
The Stroke Association,0.01,0.05,,0.14,,
Assissa Consulting,0.01,0.03,,0.14,0.02,
ApaTech,0.01,,0.07,,,
University of Leicester,0.01,,,,0.04,
Conference of European Churches,0.01,,0.07,,,
West Midlands Regional Economic Development Institute,0.01,,,,0.04,
Alcohol Change UK,0.01,0.05,,0.27,,
Glasgow Museums,0.01,,,,,0.07
Midlands Engine,0.01,,,,0.04,
"Council for Museums, Libraries and Archives",0.01,,,,,0.07
Lancashire County Council,0.01,,,,0.02,0.04
LSE Covid Rapid Response Fund,0.01,,,,0.04,
Marine Alliance for Science and Technology for Scotland,0.01,,0.03,,0.02,
Reed Foundation,0.01,0.05,,0.14,,
Wildlife Conservation Society,0.01,,0.03,,0.02,
Autism Speaks,0.01,0.05,,0.14,,
Nestec,0.01,0.05,,,,
Asthma UK,0.01,0.05,,,,
Cochrane Collaboration,0.01,0.03,,,0.02,
Roy Castle Lung Cancer Foundation,0.01,0.05,,,,
British Orthopaedic Association,0.01,,0.07,,,
Fauna and Flora International,0.01,0.03,0.03,,,
Keele Academic General Practice Partnership,0.01,0.05,,,,
BP International,0.01,,0.03,,0.02,
Worldwide Cancer Research,0.01,0.05,,,,
European Federation of Pharmaceutical Industries and Associations,0.01,0.05,,,,
AECOM,0.01,,0.03,,0.02,
Youth Justice Board,0.01,,,,0.04,
MCC,0.01,,0.03,,0.02,
Defence and Security Accelerator,0.01,,0.03,,0.02,
Knowledge Transfer Partnerships,0.01,,0.03,,0.02,
ZimmerBiomet,0.01,0.03,0.03,,,
Office of Naval Research,0.01,,0.07,,,
Association for the Prevention of Torture,0.01,,,,,0.07
Fisheries Innovation Scotland,0.01,0.03,0.03,,,
International Union for Conservation of Nature,0.01,0.03,,,0.02,
Primary Science Teaching Trust,0.01,,,,0.04,
Public Health Scotland,0.01,0.03,0.03,,,
Metropolitan Police Service,0.01,0.03,,,0.02,
Roche,0.01,0.05,,,,
Yorkshire Innovation Fund,0.01,0.03,0.03,,,
European Centre for Medium-Range Weather Forecasts,0.01,,0.03,,0.02,
Bayer Pharma AG,0.01,0.05,,,,
Nova Scotia Gaming Corporation,0.01,0.03,,0.14,0.02,
Camelot Plc,0.01,0.03,,0.14,0.02,
Association of British Bookmakers,0.01,0.03,,0.14,0.02,
Norsk Tipping,0.01,0.03,,0.14,0.02,
Society for Applied Microbiology,0.01,0.05,,,,
Glasgow City Council,0.01,,,,0.04,
Motor Neurone Disease Association,0.01,0.05,,0.14,,
Fabrica,0.01,,,,,0.07
Barclays,0.01,,,,0.04,
Childwick Trust,0.01,0.03,,,0.02,
LSE,0.01,,,,,0.07
Devon County Council,0.01,,,,0.04,
Blackpool Council,0.01,,0.03,,0.02,
National Maritime Museum,0.01,,,,,0.07
Belmont Forum,0.01,0.03,0.03,,,
Community Research and Development Information Service,0.01,,0.07,,,
John Simon Guggenheim Memorial Foundation,0.01,,,,0.02,0.04
Rockefeller,0.01,,,,0.04,
Earthwatch Institute,0.01,0.03,0.03,,,
Friends Provident Foundation,0.01,,,,0.04,
National School for Primary Care Research,0.01,0.05,,,,
Max Planck Institute,0.01,0.03,,0.14,,0.04
Leeds Teaching Hospitals Charitable Foundation,0.01,0.05,,,,
Retina,0.01,0.05,,0.14,,
Fluoron Gmbh,0.01,,0.07,,,
Leverhume Trust,0.01,0.05,,,,
Kent Cancer Trust,0.01,0.05,,,,
United Nations Development Programme,0.01,0.03,,,0.02,
University of Reading,0.01,,,,,0.07
Richard Benjamin Trust,0.01,,,,0.04,
Chartered Institute of Library and Information Professionals,0.01,,,,,0.07
HM Inspectorate of Constabulary,0.01,,,,0.04,
Bòrd na Gàidhlig,0.01,,,,,0.07
Public Safety Canada,0.01,,,,0.04,
Lankelly Chase Foundation,0.01,,,,0.04,
IKEA Foundation,0.01,,,,0.04,
Analytical Chemistry Trust Fund,0.01,,,,,0.07
Commercial,0.01,,0.07,,,
Heritage Protection Commission,0.01,,,,,0.07
Health Research Authority,0.01,0.03,,,0.02,
Stagecoach,0.01,0.03,,0.14,0.02,
Royal Irish Academy,0.01,,0.03,,,0.04
Friends Provident Charitable Foundation,0.01,,,,0.04,
Deloitte,0.01,,,,0.04,
National Environment Research Council,0.01,0.03,,,0.02,
Darwin Initiative,0.01,,0.03,,0.02,
Forth Valley and West Lothian Regional Improvement Collaborative,0.01,,,,0.04,
National Nuclear Laboratory,0.01,,0.07,,,
The National Trust,0.01,,,,,0.07
EC European Regional Development Fund,0.01,0.03,0.03,,,
South East England Development Agency,0.01,,0.07,,,
Southern Water Services,0.01,,0.07,,,
Diamond Light Source,0.01,,0.07,,,
"Department for Communities, NI",0.01,,,,0.02,0.04
Barts Charity,0.01,0.05,,,,
Augustus Foundation,0.01,,,,,0.07
Civil Aviation Authority,0.01,0.03,,,0.02,
Pilgrim Trust,0.01,0.03,,0.14,,0.04
People’s Trust for Endangered Species,0.01,0.05,,,,
University of Bedfordshire,0.01,,,,0.04,
Foreign Ministry,0.01,,,,,0.07
Chester Zoo,0.01,0.03,0.03,,,
Animal and Plant Health Agency,0.01,0.05,,,,
Airports Commission,0.01,,,,0.04,
Volkswagen,0.01,,,,,0.07
Habitat,0.01,,,,0.04,
Human Frontier Science Program,0.01,0.05,,0.14,,
Project Management Institute,0.01,,,,0.04,
Forestry Commission,0.01,,0.03,,0.02,
