id,ics_table_id,funder
89,38,Wrexham County Borough Council
90,38,MOSTYN Gallery
91,40,European Research Council [EU]
92,41,Literature Wales
93,41,British Council [GBR]
94,41,"The School of Advanced Study, London, AHRC and British Academy"
95,42,The Health Foundation
96,43,Arts and Humanities Research Council [GBR]
97,44,Economic and Social Research Council [GBR]
98,45,British Council and Higher Education Commission Pakistan
99,45,BIS and British Council
100,45,Economic and Social Research Council [GBR]
101,46,Economic and Social Research Council [GBR]
102,46,British Academy [GBR]
103,47,Arts Council England [GBR]
104,47,Hull City Council
105,47,Ferens Education Trust
106,47,British Academy [GBR]
107,49,Arts and Humanities Research Council [GBR]
108,49,Wellcome Trust
109,51,Arts and Humanities Research Council [GBR]
110,52,Arts and Humanities Research Council [GBR]
111,52,British Academy [GBR]
112,53,Royal Society [GBR]
113,54,Biotechnology and Biological Sciences Research Council [GBR]
114,54,"Department for Environment, Food and Rural Affairs [GBR]"
115,54,European Commission [EU]
116,54,Engineering and Physical Sciences Research Council [GBR]
117,54,Royal Society [GBR]
118,54,Horticultural Development Council
119,56,Erasmus [EU]
120,57,Acacia project
121,57,National Institute for Health and Care Research [GBR]
122,59,Science and Technology Facilities Council [GBR]
123,59,European Research Council [EU]
124,62,Arts and Humanities Research Council [GBR]
125,62,Arts Council England [GBR]
126,62,Aldeburgh Music
127,62,"St George's, Bloomsbury"
128,62,Centre 151
129,62,"Bluecoat, Liverpool"
130,63,Arts and Humanities Research Council [GBR]
131,63,Arts Council England [GBR]
132,64,Arts and Humanities Research Council [GBR]
133,64,Arts Council England [GBR]
134,68,Economic and Social Research Council [GBR]
135,68,Arts and Humanities Research Council [GBR]
136,70,Binx Health
137,71,Research Council of Norway
138,71,"Department for Business, Energy and Industrial Strategy [GBR]"
139,72,Arts Council England [GBR]
140,75,AstraZeneca
141,76,The Executive Office [GBR]
142,77,National Lottery Heritage Fund
143,78,ADUS Deepocean
144,78,Scottish Enterprise
145,78,Ministry of Defence [GBR]
146,78,Titan Salvage
147,78,National Oceanic and Atmospheric Administration [USA]
148,79,Engineering and Physical Sciences Research Council [GBR]
149,79,Microsoft
150,80,Arts and Humanities Research Council [GBR]
151,81,IELTS Partners
152,81,The Language Training and Testing Center [TWN]
153,82,Wellcome Trust
154,83,European Research Council [EU]
155,83,Cancer Research UK [GBR]
156,83,AstraZeneca
157,84,Arts and Humanities Research Council [GBR]
158,84,University of Leicester
159,86,CET Pinggao Group [CHN]
160,86,Henan Pinggao Electric [CHN]
161,86,Hyosung Corporation Power & Indust Systems [KOR]
162,86,Shanghai Sieyuan Electric [CHN]
163,87,The Humane Research Trust Laboratory
164,87,Fight for sight
165,87,HOYA surgical optics
166,88,Royal Academy of Engineering [GBR]
167,88,Engineering and Physical Sciences Research Council [GBR]
168,88,Amey Roads Northern Ireland
169,88,Northern Ireland Department for the Economy
170,89,British Academy [GBR]
171,89,Leverhulme Trust
172,90,European Research Council [EU]
173,90,Leverhulme Trust
174,93,Innovate UK [GBR]
175,94,European Commission [EU]
176,96,Departement Omegiving
177,98,Chartered Institute of Building Services Engineers
178,98,Hilton Worldwide
179,100,UK Government
180,100,Welsh Language Commissioner
181,101,Economic and Social Research Council [GBR]
182,101,Lloyds
183,102,Economic and Social Research Council [GBR]
184,103,Medical Research Council [GBR]
185,104,Engineering and Physical Sciences Research Council [GBR]
186,104,Innovate UK [GBR]
187,105,Economic and Social Research Council [GBR]
188,105,European Commission [EU]
189,105,Innovate UK [GBR]
190,106,European Commission [EU]
191,106,Australian Research Council
192,107,Cerebra
193,107,National Institute for Health and Care Research [GBR]
194,107,Remedi
195,107,Children’s Foundation
196,109,Big Lottery Fund
197,109,Innovate UK [GBR]
198,109,Southway Housing Trust
199,109,Greater Manchester Combined Authority
200,110,Northern Ireland Public Health Agency
201,110,National Institute for Health and Care Research [GBR]
202,112,Medical Research Council [GBR]
203,113,Global Alliance for Livestock Veterinary Medicines
204,113,Biotechnology and Biological Sciences Research Council [GBR]
205,113,Chief Scientist Office [GBR]
206,113,Medical Research Council [GBR]
207,114,Biotechnology and Biological Sciences Research Council [GBR]
208,114,Chief Scientist Office [GBR]
209,114,Scottish Universities Life Sciences Alliance
210,115,European Commission [EU]
211,115,Organisation for Economic Co-operation and Development [OECD]
212,116,"Department for Environment, Food and Rural Affairs [GBR]"
213,117,British Heart Foundation
214,117,Novartis
215,118,ApaTech
216,119,European Research Council [EU]
217,119,Biotechnology and Biological Sciences Research Council [GBR]
218,119,Philips Netherlands
219,119,Royal Society [GBR]
220,119,Wellcome Trust
221,120,Biotechnology and Biological Sciences Research Council [GBR]
222,120,European Research Council [EU]
223,120,Philips Lighting
224,120,Wellcome Trust
225,120,Royal Society [GBR]
226,124,Arts and Humanities Research Council [GBR]
227,125,Invest Northern Ireland
228,125,ProVita Eurotech
229,126,Medical Research Council [GBR]
230,126,Cancer Research UK [GBR]
231,126,National Institute for Health and Care Research [GBR]
232,129,Engineering and Physical Sciences Research Council [GBR]
233,129,Innovate UK [GBR]
234,129,Yorkshire Innovation Fund
235,129,Department of Trade and Industry [GBR]
236,130,Visit Wales
237,132,H+H UK
238,133,Environmental Agency [GBR]
239,133,Scottish Environmental Protection Agency
240,133,Scottish Government
241,134,Cancer Research UK [GBR]
242,135,Fight for Sight
243,135,Medical Research Council [GBR]
244,135,National Institute for Health and Care Research [GBR]
245,136,Medical Research Council [GBR]
246,136,European Institute of Innovation and Technology
247,137,National Health Service [GBR]
248,137,National Institute for Health and Care Research [GBR]
249,138,Google
250,138,Cambridge Technology and Trust Initiative
251,138,Facebook United
252,138,"Foreign, Commonwealth and Development Office [GBR]"
253,138,Economic and Social Research Council [GBR]
254,138,Nuffield Foundation
255,139,British Academy [GBR]
256,140,Chief Scientist Office [GBR]
257,140,Health Protection Scotland
258,140,European Centre for Disease Prevention and Control
259,140,Scottish Government Health Directorate
260,140,World Health Organization
261,141,Medical Research Council [GBR]
262,141,National Institute for Health and Care Research [GBR]
263,142,European Union [EU]
264,143,European Union [EU]
265,144,National Institute for Health and Care Research [GBR]
266,145,Economic and Social Research Council [GBR]
267,145,LSE Covid Rapid Response Fund
268,146,Engineering and Physical Sciences Research Council [GBR]
269,147,Engineering and Physical Sciences Research Council [GBR]
270,148,Breast Cancer Now
271,148,Cancer Research UK [GBR]
272,148,Merck KGaA
273,149,Natural Environment Research Council [GBR]
274,149,Innovate UK [GBR]
275,149,Jeremy Benn Associates
276,150,Innovate UK [GBR]
277,150,NHS [GBR]
278,152,Leverhulme Trust
279,152,Royal Academy of Engineering [GBR]
280,153,European Commission [EU]
281,154,Ministry of Defence [GBR]
282,154,European Commission [EU]
283,154,Engineering and Physical Sciences Research Council [GBR]
284,155,Wellcome Trust
285,155,National Institute for Health and Care Research [GBR]
286,156,Science and Technology Facilities Council [GBR]
287,157,British Heart Foundation
288,157,Colt Foundation
289,158,National Institute for Health and Care Research [GBR]
290,158,Wellcome Trust
291,159,Agriculture and Horticulture Development Board [GBR]
292,159,"Department for Environment, Food and Rural Affairs [GBR]"
293,159,grid.420736.4
294,160,Scottish Executive Central Research Unit
295,160,Scottish Executive
296,160,Scottish Health Action on Alcohol Problems
297,161,National Institute for Health and Care Research [GBR]
298,162,Arts and Humanities Research Council [GBR]
299,162,Scottish Graduate School for Arts and Humanities (SGSAH)
300,162,Association of Art Historians (AAH)
301,163,Chief Scientist Office [GBR]
302,163,Digital Health Institute
303,163,European Commission [EU]
304,165,Economic and Social Research Council [GBR]
305,166,Wellcome Trust
306,166,Leverhulme Trust
307,166,World Health Organization [WHO]
308,167,Open Society Foundations Fellowship
309,167,Royal Academy [GBR]
310,167,UNITE the Union
311,167,Department for the Economy
312,167,Joseph Rowntree Foundation
313,167,Economic and Social Research Council [GBR]
314,167,Leverhulme Trust
315,167,Unison
316,167,Mandate Trade Union
317,167,CWU Ireland
318,167,GMB
319,168,Particle Physics and Astronomy Research Council [GBR]
320,168,DoD
321,168,Science and Technology Facilities Council [GBR]
322,168,Engineering and Physical Sciences Research Council [GBR]
323,168,European Commission [EU]
324,169,Biotechnology and Biological Sciences Research Council [GBR]
325,169,UCB-Celltech
326,169,GlaxoWellcome
327,169,UCL Business
328,170,Innovate UK [GBR]
329,173,Biotechnology and Biological Sciences Research Council [GBR]
330,173,Innovate UK [GBR]
331,174,Engineering and Physical Sciences Research Council [GBR]
332,175,AstraZeneca
333,175,Engineering and Physical Sciences Research Council [GBR]
334,176,Economic and Social Research Council [GBR]
335,177,Royal Academy of Engineering [GBR]
336,178,Engineering and Physical Sciences Research Council [GBR]
337,178,Royal Academy of Engineering [GBR]
338,179,Cure Huntington’s Disease Initiative
339,179,Cantervale
340,180,Engineering and Physical Sciences Research Council [GBR]
341,181,Economic and Social Research Council [GBR]
342,182,Engineering and Physical Sciences Research Council [GBR]
343,182,Innovate UK [GBR]
344,182,UK Research and Innovation [GBR]
345,184,National Institute for Health and Care Research [GBR]
346,184,Pfizer
347,184,British Heart Foundation
348,186,Engineering and Physical Sciences Research Council [GBR]
349,186,Health Data Research UK
350,186,Health and Social Care Board
351,186,SELEX
352,186,Qinetiq UK Ltd
353,186,EC Framework Projects
354,187,European Commission [EU]
355,187,Science and Technology Facilities Council [GBR]
356,188,Engineering and Physical Sciences Research Council [GBR]
357,188,Innovate UK [GBR]
358,189,European Commission [EU]
359,189,Rafael del Pino Foundation
360,189,Caja Madrid Foundation
361,189,University of Oxford
362,189,University Association for Contemporary European Studies
363,189,Human Rights Consortium of the University of London
364,189,Macquarie Research Development Grant
365,189,EU Jean Monnet MAPS project
366,190,Cancer Research UK [GBR]
367,190,Roche
368,191,Arts Council England [GBR]
369,191,UK Research and Innovation [GBR]
370,191,European Research Council [EU]
371,191,Innovate UK [GBR]
372,193,National Institute for Health and Care Research [GBR]
373,193,Engineering and Physical Sciences Research Council [GBR]
374,193,Economic and Social Research Council [GBR]
375,194,Joseph Rowntree Foundation
376,195,Natural Environment Research Council [GBR]
377,196,Engineering and Physical Sciences Research Council [GBR]
378,196,Wellcome Trust
379,197,Department for International Development [GBR]
380,197,Engineering and Physical Sciences Research Council [GBR]
381,197,Innovate UK [GBR]
382,198,Arts and Humanities Research Council [GBR]
383,198,"United Nations Educational, Scientific and Cultural Organization [UN]"
384,198,British Academy [GBR]
385,198,Higher Education Funding Council for England
386,199,Economic and Social Research Council [GBR]
387,201,Economic and Social Research Council [GBR]
388,201,Global Challenges Research Fund [GBR]
389,202,British Academy [GBR]
390,202,Scottish Funding Council
391,202,Economic and Social Research Council [GBR]
392,202,Sutton Trust
393,202,Nuffield Foundation
394,204,European Regional Development Fund [EU]
395,206,Marie Curie
396,206,BT
397,206,Engineering and Physical Sciences Research Council [GBR]
398,206,Arts and Humanities Research Council [GBR]
399,206,Research England
400,207,National Institute for Health and Care Research [GBR]
401,207,Cancer Research UK [GBR]
402,208,Engineering and Physical Sciences Research Council [GBR]
403,209,ApaTech
404,209,Engineering and Physical Sciences Research Council [GBR]
405,211,British Academy [GBR]
406,211,Leverhulme Trust
407,212,European Commission [EU]
408,212,Medical Research Council [GBR]
409,213,Arts and Humanities Research Council [GBR]
410,213,National Lottery Heritage Fund
411,214,Economic and Social Research Council [GBR]
412,214,United Nations Children's Fund [UN]
413,214,Robert Bosch Stiftung
414,218,UK Research and Innovation [GBR]
415,218,Engineering and Physical Sciences Research Council [GBR]
416,219,Engineering and Physical Sciences Research Council [GBR]
417,220,Esmée Fairbairn Foundation
418,220,Economic and Social Research Council [GBR]
419,220,University of Exeter
420,221,Lloyd's register educational trust
421,221,Sustainable inshore fisheries trust
422,222,Engineering and Physical Sciences Research Council [GBR]
423,222,Natural Environment Research Council [GBR]
424,222,EDF Energy
425,224,Arts and Humanities Research Council [GBR]
426,224,British Academy [GBR]
427,224,English Heritage
428,225,National Grid
429,225,Innovate UK [GBR]
430,225,European Regional Development Fund [EU]
431,229,Economic and Social Research Council [GBR]
432,230,UK/Ireland Networking Grant
433,230,Economic and Social Research Council [GBR]
434,231,Organisation for Economic Co-operation and Development [OECD]
435,231,Economic and Social Research Council [GBR]
436,231,Institute of Chartered Accountants Scotland
437,231,Scottish Enterprise
438,231,"Department for Business, Energy and Industrial Strategy [GBR]"
439,231,Centre for Development and Enterprise
440,231,Enterprise Research Centre
441,232,UK Research and Innovation [GBR]
442,232,Arts Council England [GBR]
443,232,National Lottery Heritage Fund
444,234,Welsh Government
445,235,Biotechnology and Biological Sciences Research Council [GBR]
446,235,Fauna and Flora International
447,235,Natural Environment Research Council [GBR]
448,236,National Institute for Health and Care Research [GBR]
449,237,Scottish Enterprise
450,237,Department for Work and Pensions [GBR]
451,237,Economic and Social Research Council [GBR]
452,237,Scottish Government
453,239,Department for International Development [GBR]
454,239,Department of Health and Social Care [GBR]
455,239,National Institutes of Health [USA]
456,239,Public Health Institute [USA]
457,239,Research Council of Norway
458,240,European Research Council [EU]
459,240,National Science Foundation
460,242,Higher Education Academy
461,242,Learning and Teaching Support Network
462,242,Higher Education Funding Council for England
463,242,European Commission [EU]
464,243,Arts and Humanities Research Council [GBR]
465,243,London Borough of Barking and Dagenham
466,244,National Institute for Health and Care Research [GBR]
467,247,National Institute for Health and Care Research [GBR]
468,247,Novartis
469,248,Medical Research Council [GBR]
470,248,Parkinson’s UK
471,248,The Michael J Fox Foundation
472,248,National Health Service [GBR]
473,248,AstraZeneca
474,248,GlaxoSmithKline
475,248,Boehringer Ingelheim
476,248,Merck
477,248,Janssen
478,248,Pfizer
479,249,Wellcome Trust
480,251,Agriculture and Horticulture Development Board [GBR]
481,251,"Department for Environment, Food and Rural Affairs [GBR]"
482,252,Engineering and Physical Sciences Research Council [GBR]
483,253,National Institute for Health and Care Excellence [GBR]
484,253,Engineering and Physical Sciences Research Council [GBR]
485,254,Natural Environment Research Council [GBR]
486,254,UK Research and Innovation [GBR]
487,254,Food Standards Agency [GBR]
488,254,Welsh Water
489,254,European Fisheries Fund
490,254,Welsh Government
491,254,"Department for Environment, Food and Rural Affairs [GBR]"
492,254,Global Challenges Research Fund [GBR]
493,254,European Fisheries Control Agency
494,255,Bord na Gaidhlig
495,255,Soillse
496,256,Innovate UK [GBR]
497,256,UK Home Office
498,256,Department for Transport [GBR]
499,256,Department of Homeland Security [USA]
500,256,Cosmonio
501,256,Micro-X
502,256,Rapiscan
503,257,Innovate UK [GBR]
504,257,Aerospace Technology Institute
505,257,Royal Academy of Engineering [GBR]
506,257,Engineering and Physical Sciences Research Council [GBR]
507,258,Royal Academy of Engineering [GBR]
508,258,EDF Energy
509,259,Engineering and Physical Sciences Research Council [GBR]
510,259,West Midlands Police
511,260,Erasmus [EU]
512,261,Amsted Rail [USA]
513,264,Engineering and Physical Sciences Research Council [GBR]
514,264,European Union [EU]
515,264,National Institute for Health and Care Research [GBR]
516,264,Wellcome Trust
517,265,Welsh Government
518,265,European Commission [EU]
519,265,Innovate UK [GBR]
520,266,Innovate UK [GBR]
521,266,Engineering and Physical Sciences Research Council [GBR]
522,267,Medical Research Council [GBR]
523,267,Myositis Support Group
524,267,Arthritis Research Campaign (now Versus Arthritis)
525,267,Bath Institute for Rheumatic Diseases
526,267,Raynaud's and Scleroderma Association
527,268,British Council [GBR]
528,268,Seventh Framework Programme [EU]
529,270,Economic and Social Research Council [GBR]
530,270,Barrow Cadbury Trust (BCT)
531,270,Medical Research Council [GBR]
532,270,The Disabilities Trust
533,270,The Children's Commissioner for England
534,270,The United Kingdom Acquired Brain Injury Forum
535,271,British Orthopaedic Association
536,273,Economic and Social Research Council [GBR]
537,274,Epilepsy Research Foundation
538,274,SPARKS
539,274,Action Medical Research
540,274,European Commission DG Sante
541,274,Chafea
542,274,Rosetree’s Trust
543,274,Epilepsy Research UK
544,274,Great Ormond Hospital Children’s Charity
545,276,"Council for Museums, Libraries and Archives"
546,276,Glasgow Museums
547,276,National Trust
548,279,European Commission [EU]
549,280,European Commission [EU]
550,280,National Scientific and Technical Research Council [ARG]
551,281,Scottish Enterprise
552,281,Scottish Funding Council
553,281,Highlands and Islands Enterprise
554,281,Skills Development Scotland
555,281,Scottish Government
556,281,Economic and Social Research Council [GBR]
557,281,Joseph Rowntree Foundation
558,282,European Commission [EU]
559,283,United Nations Children's Fund [UN]
560,283,Global Partnership for Education
561,283,Economic and Social Research Council [GBR]
562,284,Innovate UK [GBR]
563,284,Royal Institution of Chartered Surveyors Research Trust
564,286,National Institute for Health and Care Research [GBR]
565,286,Medical Research Council [GBR]
566,286,Gilead Sciences
567,289,Wellcome Trust
568,289,Arts Council England [GBR]
569,289,Wellcome Collection
570,289,National Trust
571,291,Erasmus [EU]
572,291,Arts Council England [GBR]
573,292,National Institute for Health and Care Research [GBR]
574,292,TrygFonden Organisation
575,293,Natural Environment Research Council [GBR]
576,295,Leverhulme Trust
577,295,British Academy [GBR]
578,295,European Union [EU]
579,295,Economic and Social Research Council [GBR]
580,296,Arts and Humanities Research Council [GBR]
581,297,Leverhulme Trust
582,298,Medical Research Council [GBR]
583,298,Versus Arthritis
584,298,Engineering and Physical Sciences Research Council [GBR]
585,298,Arthritis Research UK
586,299,UK Sport
587,299,British Triathlon
588,299,British Triathlon Federation
589,299,Engineering and Physical Sciences Research Council [GBR]
590,299,Higher Education Innovation Fund
591,299,Wakayama University
592,302,Engineering and Physical Sciences Research Council [GBR]
593,303,"Department for Environment, Food and Rural Affairs [GBR]"
594,306,Biotechnology and Biological Sciences Research Council [GBR]
595,306,Royal Society [GBR]
596,306,Lonza
597,307,Engineering and Physical Sciences Research Council [GBR]
598,307,Medical Research Council [GBR]
599,307,Prostate Cancer UK
600,307,National Institute for Health and Care Research [GBR]
601,308,Commission of the European Communities
602,310,European Union [EU]
603,312,Arts and Humanities Research Council [GBR]
604,313,SIPS grant
605,313,DyCom
606,313,DyVOSE
607,313,Engineering and Physical Sciences Research Council [GBR]
608,313,European Comission/ GEANT
609,313,Innovate UK [GBR]
610,315,University of Nottingham
611,315,Sao Paulo Research Foundation
612,316,European Research Council [EU]
613,316,Arts and Humanities Research Council [GBR]
614,316,Istanbul Development Agency
615,317,Wellcome Trust
616,317,Economic and Social Research Council [GBR]
617,317,UK Foreign and Commonwealth Office
618,317,Norwegian Ministry of Foreign Affairs
619,318,Action Medical Research
620,318,Great Ormond Street Children's Charity
621,318,Jonah's Just Begun Foundation to cure Sanfilippo Inc
622,318,Society for Mucopolysaccharide Diseases
623,318,National MPS Society
624,318,Newlife Foundation
625,318,Orchard Therapeutics
626,320,Arts and Humanities Research Council [GBR]
627,320,John D. and Catherine T. MacArthur Foundation
628,322,Food and Agriculture Organisation [UN]
629,322,United Nations Universities
630,322,Belgian Government
631,322,Higher Education Funding Council for England
632,323,Climate and Clean Air Coalition
633,324,Open Society Foundations
634,324,Joseph Rowntree Foundation
635,324,British Academy [GBR]
636,324,Leverhulme Trust
637,325,Arts and Humanities Research Council [GBR]
638,326,European Union [EU]
639,326,Natural Environment Research Council [GBR]
640,327,Engineering and Physical Sciences Research Council [GBR]
641,327,European Research Council [EU]
642,327,Department of Health and Social Care [GBR]
643,327,UK Research and Innovation [GBR]
644,328,Interreg
645,328,Invest NI
646,328,Engineering and Physical Sciences Research Council [GBR]
647,328,Conference of European Churches [EU]
648,328,Royal Academy of Engineering [GBR]
649,329,European Commission [EU]
650,329,Natural Environment Research Council [GBR]
651,329,British Skin Foundation
652,329,"Department for Environment, Food and Rural Affairs [GBR]"
653,329,"Department for Business, Energy and Industrial Strategy [GBR]"
654,330,Economic and Social Research Council [GBR]
655,330,Cairns Charitable Trust
656,330,Isaac Newton Trust
657,330,The Alborada Trust
658,330,Wellcome Trust
659,331,Economic and Social Research Council [GBR]
660,331,Arts and Humanities Research Council [GBR]
661,331,University of Bristol
662,333,Arts and Humanities Research Council [GBR]
663,335,Natural Environment Research Council [GBR]
664,336,Arts and Humanities Research Council [GBR]
665,336,"Department of Digital, Culture, Media and Sport [GBR]"
666,337,European Commission [EU]
667,337,Economic and Social Research Council [GBR]
668,338,Arts and Humanities Research Council [GBR]
669,338,Research Council of Norway
670,339,Economic and Social Research Council [GBR]
671,339,Canadian Institutes for Health Research
672,339,UK New Dynamics of Ageing Research Programme
673,339,Arts and Humanities Research Council [GBR]
674,339,Arts Council England [GBR]
675,339,Paul Hamlyn Foundation
676,339,Big Lottery Reaching Communities
677,340,Asthma UK
678,340,Synairgen
679,340,University Hospital Southampton
680,340,National Institute for Health and Care Research [GBR]
681,340,AstraZeneca
682,342,Department for International Development [GBR]
683,342,International Initiative for Impact Evaluation
684,343,European Research Council [EU]
685,344,Royal Society [GBR]
686,344,Boeing United Kingdom
687,344,Templeton World Charity Foundation
688,344,DeepMind
689,345,Engineering and Physical Sciences Research Council [GBR]
690,345,European Commission [EU]
691,346,Engineering and Physical Sciences Research Council [GBR]
692,346,European Commission [EU]
693,346,Science and Technology Facilities Council [GBR]
694,347,OpenAI
695,347,Google DeepMind
696,348,Innovate UK [GBR]
697,348,Biotechnology and Biological Sciences Research Council [GBR]
698,348,Engineering and Physical Sciences Research Council [GBR]
699,349,Medical Research Council [GBR]
700,349,"Department for Environment, Food and Rural Affairs [GBR]"
701,349,European Commission [EU]
702,351,Multiple Sclerosis Society
703,351,Medical Research Council [GBR]
704,351,Moulton Charitable Trust
705,352,Arts and Humanities Research Council [GBR]
706,353,Engineering and Physical Sciences Research Council [GBR]
707,353,European Cooperation in Science and Technology
708,353,National Health Service [GBR]
709,354,Arts and Humanities Research Council [GBR]
710,357,Arts and Humanities Research Council [GBR]
711,358,Cancer Research UK [GBR]
712,359,European Union [EU]
713,359,"Department for Environment, Food and Rural Affairs [GBR]"
714,359,The Woodspring Trust
715,359,British Academy [GBR]
716,359,"Foreign, Commonwealth and Development Office [GBR]"
717,360,Economic and Social Research Council [GBR]
718,360,Leverhulme Foundation
719,360,British Academy [GBR]
720,361,Humanities in the European Research Area
721,362,Economic and Social Research Council [GBR]
722,362,Medical Research Council [GBR]
723,362,Academic Health Science Network for the North East and North Cumbria (AHSN)
724,362,Dunhill Medical Trust
725,362,National Institute for Health and Care Research [GBR]
726,363,ALPRO Foundation
727,363,European Commission [EU]
728,363,Biotechnology and Biological Sciences Research Council [GBR]
729,364,"Department for Children, Schools and Families [GBR]"
730,364,Economic and Social Research Council [GBR]
731,364,Nuffield Foundation
732,365,Leverhulme Trust
733,366,Natural Environment Research Council [GBR]
734,366,Natural Environment Research Council (NERC) (via ESPA)
735,367,Research England
736,367,European Commission [EU]
737,368,Pharmacy Research UK
738,371,Partnership for Clean Competition
739,371,UK Anti-Doping [GBR]
740,372,Economic and Social Research Council [GBR]
741,374,European Research Council [EU]
742,374,Leverhulme Trust
743,374,British Academy [GBR]
744,376,Leverhulme Trust / British Academy
745,376,Leverhulme Trust
746,376,Arts and Humanities Research Council [GBR]
747,377,European Centre for Medium-Range Weather Forecasts
748,377,Climate Central
749,379,"Department for Environment, Food and Rural Affairs [GBR]"
750,379,The League against Cruel Sports
751,380,Economic and Social Research Council [GBR]
752,380,UK Home Office
753,380,British Academy [GBR]
754,381,Economic and Social Research Council [GBR]
755,381,Department for International Development [GBR]
756,385,ZimmerBiomet
757,385,Pfizer
758,386,Engineering and Physical Sciences Research Council [GBR]
759,386,Department of Health and Social Care [GBR]
760,386,Wellcome Trust
761,386,Society for Applied Microbiology
762,387,National Institute for Health and Care Research [GBR]
763,388,European Commission [EU]
764,390,Engineering and Physical Sciences Research Council [GBR]
765,392,Engineering and Physical Sciences Research Council [GBR]
766,392,Johnson Matthey
767,393,Air Force Office of Scientific Research
768,393,Airbus
769,393,Science and Technology Facilities Council [GBR]
770,394,Department of Trade and Industry [GBR]
771,394,Innovate UK [GBR]
772,395,Food Standards Scotland
773,395,European Food Standards Agency
774,395,Food Safety Authority for Scotland
775,395,Leverhulme trust
776,395,Economic and Social Research Council [GBR]
777,396,Royal Academy of Engineering [GBR]
778,396,European Commission [EU]
779,398,Innovate UK [GBR]
780,398,Unielectronics
781,398,TMP
782,399,Engineering and Physical Sciences Research Council [GBR]
783,401,Natural Environment Research Council [GBR]
784,401,Royal Society [GBR]
785,401,Engineering and Physical Sciences Research Council [GBR]
786,406,Northern Ireland Judicial Appointments Commission
787,407,National Institute for Health and Care Research [GBR]
788,407,Medical Research Council [GBR]
789,408,Cancer Research UK [GBR]
790,409,Castang Foundation
791,409,The Children’s Foundation
792,409,Wellchild
793,411,Innovate UK [GBR]
794,411,Biotechnology and Biological Sciences Research Council [GBR]
795,411,AB Vista
796,412,Historic England
797,413,Biotechnology and Biological Sciences Research Council [GBR]
798,413,European Research Council [EU]
799,413,British Council [GBR]
800,413,Department of Science and Technology
801,413,Leverhulme Trust Trust
802,413,Wellcome Trust
