REF impact case study identifier,reassigned,reassignment,final_topic,reassignment_notes
9ff700be-fbad-489b-be5f-4cd4166f9aba,0,2,2,This is entrepreneurship 
91e03646-edf6-4163-a59f-fa70dac32c99,0,22,22,
6f3f8640-366e-4839-b256-8f2e50f3273f,1,,81,
61ae63d6-e55f-43c7-b0f6-ca05d9e70056,1,,81,
5b8ecca5-11bc-4a72-b078-499cc324d157,1,,81,
1a5c711e-42fe-4c79-a6de-bd99c154afdd,1,,81,
08134ec2-7834-4fee-aaf5-aed89788fe86,0,47,47,I think this comes under healthcare policy
2cb44256-ce53-4e49-bff7-084eafa646f7,0,2,2,"This is more diversity in business again, but its not female-specific"
0584e613-743b-4c72-858b-f3b9b8b85761,0,14,14,The closest fit I can find is the ethics legislation label 
9cae6ca4-76c1-47e6-a01c-d24e619cf6db,0,21,21,The best fit for humanitarian response
039d3ea9-db1a-4fc8-aea0-5a7f240b23d1,1,,81,
a41288b7-f214-4a89-b984-ee1302efb93b,0,29,29,This education without a gender-specific focus again
f1ad221e-1e27-4c1f-a8fc-38bd828974ef,0,25,25,Supporting and integrating disabilities (could possibly go in employment as well)
a32de058-fdb9-4490-8488-e96667a03372,0,25,25,Supporting and integrating disabilities (could possibly go in employment as well)
9c9ce04f-705c-486b-aa33-347684027b97,0,25,25,Supporting and integrating disabilities (could possibly go in employment as well)
9f445ada-fa56-4b46-a26d-e1dde9b06be4,0,0,0,Sport on the 'sport as means of facilitating social change and increased opportunities' side of things 
c16206c9-225e-4e54-9212-8d9f48b505dc,1,,80,
b0e3e999-fc07-42e7-ba3a-dc5781fea31f,1,,80,
c44e1991-697f-470b-90ce-02f52254fd5d,1,,80,
533007d7-803b-4910-bd69-8a51fdd2bbf1,1,,80,
b863d7f4-1190-4d10-a2e4-6eb23bee18ed,1,,80,
8e472d92-fdaf-4a64-ad41-21abf9188a5a,1,,80,
70bb3304-40a5-46cf-854d-44c6afcf92af,1,,80,
a716dd5f-8da5-4fb3-936d-9202b16a37c7,1,,80,
0e58bab9-9a11-4a40-bd4a-f4f6069e3536,1,,80,
e3b537f2-123d-4d30-aab4-1934256854d2,0,76,76,Celebrating a work of literature/author
08a73df0-11b1-4809-8222-87355d388bb0,0,76,76,Celebrating a work of literature/author
5d668442-4e93-4c89-b921-47b84eaa5960,1,,79,
9d59a352-b266-4086-9a0d-e16a87cb47de,1,,79,
b5376e41-5cdf-477b-8069-d574507817a1,1,,79,
003e4083-da09-4be4-aa48-7284eb12f840,0,59,59,
da26ca12-5f5c-4c7c-9f02-2cb017ad26cd,0,49,49,
1a51b549-76e4-4fc0-8fcb-a71d1a4b8505,1,,79,
5b1e1db8-6a57-40d4-aefd-59a1e88805e5,1,,79,
9d66a0cf-497f-4381-88f3-137f3fb0f36a,1,,79,
838fb21b-834f-429e-8dec-1316705a6368,1,,79,
eb5bf161-b67f-4d2a-a673-322c6dcaa6ef,1,,79,
11bf5269-da7e-4277-a47a-48fe1a00ad81,1,,79,
940a3a53-d51d-497c-895b-2c966a2218c2,0,15,15,
b6d0a1a0-241d-4af1-945d-7936abee905a,1,,78,
d0ae6bd6-ae3d-4ef9-856e-4a0b8fbe91f9,1,,78,
38af31e3-d7f7-4140-960d-10129b7e38ea,1,,78,
ad0b01ec-6042-444c-b111-393066101615,0,68,68,
01c1e869-d646-4c7a-a172-3868b862a249,0,41,41,
28624a1d-b0ce-4850-b47b-5aa9da9431dd,0,21,21,
cb9e7d73-bea0-4c10-8c9b-69a5ffc0d484,1,,78,
c86f6f17-2f7f-4823-a5e9-d2eb70ebe0ed,1,,78,
c07a3f80-28ef-42f8-8679-15acb191d9e0,1,,78,
1e19cd85-2700-4ac2-b180-26894432f63a,1,,78,
cb7880fa-ac35-4594-9745-44d7bd85a27e,1,,78,
ff2c2b11-4c59-436a-a008-5a27b087d831,1,,78,
c3ad4232-86a1-4be5-85a0-8505defa957f,1,,78,
3cde462c-74cb-44c7-b60b-73ab3139d955,0,18,18,Feminism
8ace7d86-9add-45ab-bd56-3f11f88ae2c7,0,23,23,Protecting heritage sites
59d92071-ab1f-4ee3-bfc6-069a7ea29e0a,1,,77,
5be26448-24fd-42d9-895a-5a2aa652ccf4,0,58,58,Understanding of trans issues and integration in religion and healthcare
f4071c29-012c-4606-93a1-c48c75e53275,1,,77,
f1fca02f-f755-4fa4-be45-ccf100e7a8ca,0,48,48,Torture prevention 
788b65e3-f6c4-4047-940d-3816a2ba41d2,1,47,77,"This could either go in healthcare policy because one of the main impacts is influencing policies around cosmetic procedures, or become a -1 because cosmetic procedures don't fit comfortably anywhere"
4ebeafe8-7d49-40ac-a0d8-645f4f3aad5f,0,53,53,Pharmecutical ethics - pursuit of justice against thalidomide producers and providers
4acb9860-cab0-4a3b-8e90-ea2fbc5c906e,0,23,23,Protection of world heritage sites
781cc869-8c34-4178-b5ce-a34d20bc5d87,1,,77,Impacts of Holocaust archaeology - could go here or could go in Holocaust topic if this topic becomes obsolete
ece04e7d-0df5-4955-a4a7-b25168231a23,1,,77,"Could go here because its human remains, but maybe the topic needs changing to historic forensics and historic crime"
cd1a66e8-499c-48fc-9863-e4a30c27bbd3,0,1,1,"This could go in violent crime and incarceration (1) especially with a more generalised name, as its as much about police misconduct and policy as forensics "
885d182b-eab0-48db-a03e-2e2e8c76fa28,0,35,35,"Putting this in theology, religion and ethics rather than sexualities"
37560e16-7bce-465c-a7b7-929c5725205d,0,58,58,
a7561299-aac4-4364-af1b-b8bfaba20dce,0,47,47,Healthcare policy and healthcare ethics on patients in minimally cognitive states
c715000e-d499-4825-afe8-9cfbb3fb3276,0,47,47,Putting this in healthcare policy and ethics as well
200236a8-1109-4129-86a2-32cbb2503155,1,,77,
e143637d-8851-43b1-a427-4b7e1df9c747,0,47,47,More assisted dying fitting into healthcare policy and ethics
8c0a7929-8847-4840-ae0b-1f5dd1d1fd6b,0,47,47,Same again
471b336f-7495-4d99-a88c-e9f5c89aa966,0,47,47,Same again
98c4c4d9-cf1a-4217-8574-6a1dabed2165,0,47,47,Same again
ccd6bdfb-2e0a-4ef9-9b40-bc4026dadc2a,0,78,78,Sexualities or refugees (this is talking about queer refugees from Russia
0de9dae4-d6cb-4a93-a2e3-21263f335e56,0,58,58,
5b5cd0e8-be65-4877-9977-0645e77722e7,0,58,58,
59d9af3a-20d0-4da4-9028-4921a7ad21b2,1,,77,
0a60d7d0-3d59-44dc-9d90-6ce591a852d0,1,,77,
236ecd77-7344-4313-a777-0577237bdda8,0,35,35,
77012fef-dc97-40c8-b731-88dbfbf2f1d9,0,35,35,
33f51149-9aa8-44ed-b328-6c8bc5df7f61,0,35,35,
41705c1b-0380-4e6d-a1e1-0a90e6a5d7db,0,58,58,
01e3d428-43a4-489e-8acd-48634c47e143,0,58,58,
03c3a739-57c2-4f79-a6bc-d02d8c8ad178,0,35,35,
ee78df2e-829d-4b32-81b6-a877910046d9,0,35,35,
b8701e4b-7347-4360-9698-ecadc325efec,0,42,42,This is about UK surrogacy law so I've put it in reproductive rightts
993b1ce6-752e-423f-b6f0-8d6f37192d18,0,42,42,Same again
785a1449-5eae-45f6-8d67-74498c405058,0,29,29,Educational access and diversity
9a366bd0-01d6-430f-9d98-293b406115b1,0,58,58,Not sure if teaching or sexualities
ca2c52b4-71e2-4d72-8a20-13dc9441f497,1,,77,
56823b29-7d00-4604-aef4-93329d16ca98,1,,77,
dec3f818-006d-4e9e-876c-956fbb7c3cbf,0,58,58,
6c8c4768-15d5-42e0-86dd-07d020019ba9,1,1,76,"This is justice, but doesn't fit in the violent crime and incarceration title"
e6e93304-328f-4101-87db-1168a40650ad,0,7,7,I think this fits better in teaching and education rather than just literature 
9bba0355-834f-445c-8853-225cf041ffee,1,,76,
939a0d6e-a06a-4c44-bc52-550e6ee1c265,1,,76,
675f6258-680c-4982-b4e9-5c8b80d5e8d4,1,,76,
8b7449d3-af22-42b1-974b-f435ea713d70,1,,76,
e23f4f92-4884-4b47-843c-4af622804333,1,,76,
0f4102de-6726-49c3-aa12-0b591ef2eff7,1,,76,"It makes sense to be here in literature, but it also feels bigger than that"
3cd929c8-64fb-430a-b94d-756af9940e77,1,,76,
400260b8-1fbe-45e7-80cd-006625c313c5,1,,76,
38cdf896-7e30-480c-a8ea-8ade1f3113e4,1,,76,
f6e06975-28ee-4c28-9859-f2456f999880,1,,76,Is this literature or teaching...I think changing the definition of the topic may help with this
a73386f2-fbe1-43cc-959b-c424c1fa57eb,1,,76,
9d68fc95-aa4c-47c6-bb09-7923ae3b9dfc,0,29,29,This is about supporting literacy and lifelong literacy and literature engagement resources
da28410d-7a3f-4ff6-b515-11dc721c28f5,1,,76,
f67f14f2-515a-4437-9c9c-972c72e85271,1,,76,
dc900d5c-0d42-40ea-af3f-1efe574a94cc,1,,76,
2d58bd3c-b60c-49cd-8bae-cc84858e0508,1,,76,
f91a3dee-96ad-41d3-a7e9-988d368e08af,1,,76,Reading 
a7e1c5da-226c-4303-b65f-13fd21bd811b,1,,76,
4199a623-1948-47b6-996c-6fa9e3c6e045,1,,76,
0022cc05-2ca1-4e01-a81c-a2a1b15dc903,0,35,35,"This is theology/history - Knox's role in the Reformation and misunderstandings of his reputation on women, etc. - I actually can't work out where this fits because its a historical figure not as a literary figure"
27487243-0365-4df6-b515-2dfcc5a66844,1,,76,
38576da3-e587-4921-8f06-f358f638bea2,0,68,68,This is co-production through oral history 
ff923b74-0d3b-4984-a2d5-0976908d7104,1,,76,
77fe31e2-ea95-4388-91ec-984bbd56a513,0,12,12,This is curation techniques 
91971298-7ea2-4b4e-a8a4-9fa82cfe627a,1,,76,
bdbc7813-18f3-4ac8-84fe-627d67fd94e1,0,75,75,"This is about public engagement with medieval science, but also about access to resources and arts in university "
17bc9b5b-6f50-4de1-b928-cd4108eab929,0,23,23,Archaeology 
590e6c42-4bea-4780-9a7c-aa62aeba7aed,1,,76,
ab8df6c7-4f32-49b4-9703-3b64f17598fa,0,52,52,This is more about the reading literacy access side of things 
6cb7b9c5-688b-42a6-9f5a-17cd4a7020d0,0,52,52,More reading 
5a4c429f-34d9-4829-9b62-d87bb3fe0fc7,1,,76,Literature or digital? 
fab7ad6f-1b70-4e7e-8942-c52d8c4787a6,0,68,68,"This is both enhancing education and curricula, and also impacts diplomacy - cultural capital or miscellaneous?"
50f9865f-a12b-43a7-a5f8-8a2521399668,1,,75,
633106ea-e521-4b7e-85f4-da6e55800ae5,1,,75,
ec169aab-8ee1-4cc3-ad93-e577dbd888f2,1,,75,
039f6ef6-31b0-4f33-934a-5bbbc5ac88ab,1,,75,
6d4203dd-2394-435e-9505-e1997f963168,1,,75,
b5c53a99-2ffd-4bd9-80c5-2cf3bec13d4d,1,,75,
50cc462a-3c93-4ed6-ab01-9291e1304475,1,,75,
194c6df7-1415-4fde-8873-ade5b814e804,1,,75,
c046bea0-7087-4c9f-a0bc-ac75eb87e51e,1,,75,
016cf1b2-c6b9-44ea-a034-439c9511d8a6,1,,75,
64a06c32-ef0a-47e9-9c40-26eba2f5899c,1,,75,
6154c9cb-c16e-4743-be0e-740b1b402c00,1,,75,
2ba3e929-52ff-447c-b497-26ed7afb22a3,1,,75,
3451cd3c-674c-4a2d-9319-7f0afdb131fb,1,,75,
4c16c0f8-4f5e-41cc-bf7e-662747f12578,1,,75,
9b8067f2-025c-4f0d-b47a-fdcdc99eb40e,1,,75,
edab8653-03f9-4112-a2c1-695be6232c45,0,77,77,I kind of want to put this in forensics because that's where the science cross-over impact is
59acf68b-7162-4427-aeb7-1c2cc6d879eb,1,,75,
363e7bda-5cf4-44ac-8da0-e316c9ce81fb,1,,75,
ad8a6062-5bc9-44f1-87e5-8379d600d772,1,,75,
acee75c2-a004-41d8-b1ab-6539d2fdba59,0,10,10,
9da62a6f-a798-4490-9d1f-34dcb577375b,0,52,52,This could be a -1 or it could be in the literacy and reading topic (52)
593051cd-76a0-47ed-ab43-afd7200c8e8d,1,,75,
f5ac0a27-4e07-4afa-8a3d-f8d7569fe65c,1,,75,
d6782080-52bc-489f-99fc-bf1c9e72f4b0,0,57,57,(digital content or literature)
f68c00b4-51ef-4c2c-ba67-b19995e10184,0,20,20,creative writing and literature for climate change awareness
5f571dc6-6555-42e6-958c-6e798ab57333,0,77,77,this is pretty much the same case study as the earlier one on forensics
c2e921b9-87fe-4be2-9efc-74dc1ce8ec4e,1,,75,
c1fdf1ed-35a7-49bb-931c-3f466b179a49,1,,75,
4223f1dc-f600-485c-8f91-d1452f511896,1,,75,
950e53bd-9bb3-4ccf-a424-2ebee28c8c03,1,,75,
c116e3d8-7683-48c4-972f-9c9429bff8fb,1,,74,
c483fe4f-6b06-4384-807b-134e0551dfb9,0,21,21,Dont know at all what to do with existential risk
57aa0b0b-40eb-4f24-b804-ea8d2ce45810,1,,74,
ec68c0c3-5210-4b8a-9d42-542b00974055,1,,74,
526289f6-405b-483f-8a28-2077d4480a49,1,,74,
f6685bb9-ea95-4c55-819a-438555511f74,1,,74,
143b77cd-15a6-4154-8a7c-b32fed9db672,1,,74,
08536f22-e906-40a0-a468-7aa8d5a32fe0,1,,74,
525dfea1-80ff-44f1-a1a4-6102dd697e90,1,,74,
7f41fbc2-6c4e-49a4-a707-0d0a2158a73e,1,,74,
18c0b010-f6ff-4430-94d4-b0443a6787ac,1,,74,
ea4d50c3-bb5e-4079-a19f-8759b64df3b3,1,,74,
0c00c5c0-748f-4904-a30e-9b298efa8180,0,72,72,Adapting buildings for climate change
7083fbc2-c7b9-4a01-b436-22aec84951f4,1,,74,
4c1da381-7e5a-480a-b03b-1e360fcdd23b,1,,74,
1174b301-2912-4cc1-9140-4865bee2af12,1,,74,
f8baf068-381c-4b0c-a79c-df49f0cc49c7,1,,74,
5e29301d-903b-40b0-bb23-947c21bcfd3f,1,,74,
526bcc46-5aab-4399-b02f-9149b0dbf539,1,,74,
00d6643e-aa54-4bc5-b200-74d66c7f6562,1,,74,
cfd2cfd4-da4d-4d26-9fea-4724066dde3b,1,,74,
89982760-6703-4d93-a546-9d5de0a71b25,1,,74,
50a009c5-51b8-47fa-9e54-e207b61b6a25,1,,74,
53e0bc4d-9f03-4a4f-a13e-ada61970fa92,1,,74,
608e1f54-c9ce-4665-b372-16497749bda5,0,26,26,Decarbonising various industries and sectors
abe59d50-bf43-4f3d-b1f4-4d59d95a4b65,0,26,26,Decarbonising medical care industry
db8763e5-c95f-4014-bc40-eeab66518865,1,,74,
21585466-9c7e-48aa-bc88-709cf579f4e8,1,,74,
dd3af37c-35c9-4b24-bd6c-7828083a0779,0,5,5,Mapping invasive species - conversation
27b67924-0632-4f69-8d13-aa65b7526fdc,1,,74,
a7bb4b0e-13c5-4508-bfb9-5dc3a8a35bc0,0,5,5,Conservation - vegetation along powerlines
205008ec-6d2e-4246-9719-b5086cf4affa,1,,74,
18290d1b-b4c7-4dc1-bb53-c52edcaa5d27,1,,74,
c480ad3b-77aa-4825-8a26-3883ad04643e,1,,74,
8b7de844-3de8-4afd-ae83-a5c8d339fbe0,1,,74,
694b813e-63d5-41e8-9714-38978094c9dc,1,,74,
282bea07-6581-4cf8-857b-3eecb224a46d,1,,74,
791f99de-69ad-4b17-8156-38e6e4475e06,1,,74,
ac82d0c3-d437-456c-ac0a-67c4b7e7981b,0,7,7,Introducing neuroscience into education
970f8fdf-335a-4fb2-8ad0-fc7d23ae8386,0,82,82,Risk management in various industries
273c9758-f8ce-4845-af5a-601e0d7b49ab,0,41,41,Space plants...?
09304124-1ba5-40bc-87e6-2ed72baa2bce,0,26,26,Nuclear safety 
647a0c42-a6a5-49a9-974a-a762a1de8778,0,51,51,Mostly about natural hazards
4f183425-2c0b-45e7-9ff8-47930345f7db,0,75,75,Nuclear history informing modern understandings
92881e6f-7bdc-4ca2-8d56-df7a5ed5405b,0,26,26,Mitigating neuclear risks - workplace risk management...???
26be5d9f-2c7c-44ac-abba-4d623e429a10,0,5,5,Dialogue on uranium mining in Greenland
e473d189-1099-418b-993b-4e9c1aba7972,0,26,26,Nuclear debates in the public sphere
5b1e9346-c4e4-447e-b78d-24ff8e1c7e41,0,44,44,Public understanding of behavioural science
6f517687-0186-4309-bca3-511d1caee991,0,63,63,Safeguarding neuclear weapons against cyber threats
7012313d-b8aa-43ca-a9ae-fe32d08e97d6,0,21,21,wider audience for conflict and security research
b153cd1a-0eb8-4677-8315-b45d53a4aaae,0,63,63,Enhancing security at nuclear facilities
67e04dc6-d014-4a47-8939-8f570064ddf9,0,63,63,Global cyber security
3fa0b61e-afb0-4580-bfcb-7622ef4d65ed,1,,73,
4e27bd02-f78d-4163-a78b-d96818743909,1,,73,
6a70f00b-6381-4a50-90fe-76d8e8e37976,1,,73,
372af038-f459-4de3-9bea-71540aa18aa1,0,67,67,Mental health for high stress professions/roles
b239cf41-273f-4730-b2a2-4773d464b75e,1,,73,
0b25c14d-6caa-4b25-94ad-2c1ad2505463,1,,73,
f1ce694b-eb51-4c29-8e54-380d7463d5a2,1,,73,
f62fd2c9-d42b-4851-abaa-5835ae5a35b3,1,,73,
ce6ea012-84c7-48ff-be93-51da3c3cff5f,1,,73,
0187ea7d-ece9-4a90-8be1-8329f1563fd9,1,,73,
e17a16ef-511e-4418-8d79-0f753948027d,1,,73,
2b9919e9-bcb5-4ced-914d-6e74ba32bf6d,1,,73,
c2fca979-9d8b-4a87-8d27-7bf2d2ae92c7,1,,73,
0c7421b1-944f-4dfa-b11f-c0ec759f5946,1,,73,
16e82f46-ca12-480c-b99c-2cd4be0a69b8,0,67,67,Helping depressed young people access services
d8af81e0-9d32-4b87-817e-8bc4e15b34bb,0,67,67,Depression support 
e7c7267d-1e16-4858-a493-e0fe7e013bb3,1,,73,
110b8a28-0f66-4ac5-ace1-033485b914af,1,,73,
6f279a0d-d2f4-49c7-83f1-3c245f25efdc,1,,73,
0203e46d-afa7-4e0d-8b98-e932d5b3a03e,0,44,44,Safeguarding those with extreme psych issues from detainment or institutional mistreatment
68e3c701-5a33-4465-85cd-ede615670bfe,1,,72,
764f1bfb-ef0d-418a-89e9-8c8e285490e7,1,,72,
30b1330b-e6ec-44bd-8a44-25d0f42f6bec,1,,72,
7e995175-8e79-459d-b53c-d053ab73645d,1,,72,
26c11700-fa85-4c07-aceb-6a6d92dd1ed1,1,,72,
6ef01b49-a7b6-4173-a049-637b8e19fcae,1,,72,
9e0c5fb5-b131-4e77-a8b2-c0e56f2dbf22,1,,72,
91a5fa91-1c56-4eb8-967f-6188b41c96fe,1,,72,
391afce9-969f-4cb3-9661-e3b0937e8a81,1,,72,
7bd65ea9-b48a-4157-b59d-0a8f11190461,1,,72,
672233f6-3073-481f-9b2f-e47351cccde8,1,,72,
57afd34e-a1c1-43bc-80ac-3f2dc400d9d4,1,,72,
109ec294-dcf8-4b89-924d-8d098a5d58a9,1,,72,
11e7f42b-d4c4-45c2-948d-0249951f9bb3,1,,72,
2aefe25b-98c5-4366-bee5-64d9f559eac5,1,,72,
9c0d809f-b070-4e19-a8e3-61b7db0a230d,1,,72,
3508ef40-f6c4-4911-a68d-0b73a87a26c1,1,,72,
1e6848db-05b2-4dd9-a4a6-b69082a11bfd,1,,72,
ab0bd6b2-f292-4a95-8119-65c450abfe0d,1,,72,
79c77522-e2a2-49a1-8f8c-0b0753b213ba,1,,72,
b2e01d46-f476-44e7-8240-98621e2207b5,1,,72,
8df7d859-e14f-46e9-9973-a3e64147fab6,1,,72,
0ed64964-8120-4c31-98d8-125681332b83,1,,71,
50d47fe4-bb2b-48f5-b535-2341a6678e3a,1,,71,
6c361fc3-99c5-4ae3-a048-2b15e5ca58ec,1,,71,
c19702cd-3246-4d52-9676-0a34957fba2f,1,,71,
69865425-41db-4c59-a3b0-7f3fdbf321e5,1,,71,
6f88d8a6-a744-4aab-98b0-61460aacbd24,1,,71,
4130201a-80b3-4dc2-9a80-2a49522d623a,1,,71,
4c30caf6-9cbe-41c2-9426-84e4a9fa68e9,1,,71,
a5b7c1f0-2bbf-47c7-988c-3f4a1b9e4d07,1,,71,
0a7fdd93-7aa7-422c-a2f8-47091a08127b,1,,71,
d8016a5b-eb37-42d5-9801-28f933d4393a,1,,71,
1a02db1a-7c4c-42f3-aa69-e09099f0683c,1,,71,
9fc5e745-4c52-40c8-a5cb-c0b7903516ce,1,,71,
2f323cc1-f334-4f3b-a554-b8a2685c718b,1,,71,
8e9219cf-59cd-468a-b0df-3be679ca79ae,0,44,44,psychological wellbeing - withdrawing from psych treatment drugs
bbc05f33-8e80-40fa-9564-ec1fcf9b6e05,1,,71,
3f7446db-da84-4fc7-ab8d-7191bcdbb15d,1,,70,
cbcb40d7-472b-41f7-870c-c44dc420b572,1,,70,
4754845f-19d1-4ba9-bcec-1e5841c65d07,1,,70,
d28d28b8-5985-4fd7-b4e2-813a076117b9,1,,70,
1836d067-fdb8-4314-a659-04db8d133903,1,,70,
9bf2cd0c-74ea-469a-8ebb-76287f4723da,1,,70,
3ba94e72-a122-4904-aacf-8e04e543de74,1,,70,
b840c34d-af5a-40a3-b676-e0549691b5f8,1,,70,
4453a0c1-c270-4f1a-a1c4-86327ac2e2fe,1,,70,
8290e2d2-4b67-4861-83e0-a770e63492d5,1,,70,
94e001cb-f7fb-4b36-b321-7de5944a1944,1,,70,
98270628-d65b-4a23-a54e-36904a375a10,1,,70,
f46ffd2f-3509-4cb5-8671-3422f978a82a,1,,70,
0b086836-3c88-41d1-a57b-638809071d75,1,,70,
f7423d56-740f-435f-8b87-8b7330de7c1e,1,,70,
d69de0b9-ab6b-4a5e-801d-5d4add32e5c5,1,,70,
2a75f851-7106-4bb8-b60f-7da6735a45d4,1,,69,
f290d76d-54c7-4bff-9fce-d0edc8120ca4,1,,69,
1f464f09-bdeb-4df1-bd3d-22615de90051,1,,69,
d229561a-439d-4e9f-ac1d-effbc85f9987,0,83,83,IR or Brexit? 
13483264-76fd-45d3-a603-d8dd44a40b44,1,,69,
b64a3044-0027-4c9d-97de-e84615111b1a,1,,69,
2b48d9c9-f72f-4a69-9d88-87aaf2d189ed,0,38,38,Development?
11e86266-20bd-4983-81f3-3c1b30041641,0,83,83,IR
dcb3d754-e7e5-459d-9dcc-7e6148d71aa9,1,,69,
54005e9b-40ae-4e3c-b9f3-8990e6a25e93,0,65,65,Should this be in an economic topic?
583eb5a1-3781-4801-b704-b1bfd98b534c,0,83,83,IR or Brexit
08ca1fbd-b7f9-4c5b-a877-b6dd15ac7964,0,83,83,IR 
fc10d055-6d6a-4bc8-9069-a0ff851c47ee,1,,69,
cf1da677-42bc-4e76-9034-c40e12e405f7,1,,69,
2bfa5460-341a-46b0-bbee-4d449ecb7bcd,1,,69,
379cf63c-368e-4b7a-b2c8-1bb8baac42e1,1,,68,
ed93c3ad-2122-4731-8de4-4fc3f78150e4,1,,68,
1942aff7-ec31-4d0b-b54b-c2ba8eb1f093,1,,68,
75e55666-b1ff-479b-9d23-4410f479f912,1,,68,
8549be06-55fa-410b-9658-fc67e4229b4c,1,,68,
46257d0c-5e07-4eed-a6f2-18a84b40c394,1,,68,
adf86d7a-a55d-426a-9cf0-92f8d6f9dca4,1,,68,
0cdace7a-82a1-4fe4-80f8-e0825c854692,1,,68,
4cd39207-3c4e-432b-8194-c1709cd68b3e,1,,68,
e8fd4927-104c-490d-b5d4-564dc27b1752,1,,68,
a8326ab5-9072-4e9f-b6db-0d4d0d1429c1,1,,68,
9a6221a4-7b38-4bc7-845f-6cb5103a5dee,1,,68,
0ccadc2a-b129-4de7-8531-9665267e8135,1,,68,
81a0c238-c4e4-49ae-a3b3-3075c290f52e,0,59,59,Protecting a historic site to safeguard heritage 
5a7458f9-427f-4275-b53e-d20792cc81a0,0,2,2,Museum network on a particular theme
983b9b73-474c-49f0-9bd5-1d46283be9f6,0,10,10,"There was no co-production in this, I would put it in archives and cultural preservation"
67541700-fea3-429e-9117-c0fc3d200953,1,,68,
e9b532aa-8d6d-4509-86ad-63f45a92e827,0,23,23,About archaeology and a historic house of Walter Scott
2b9b005d-78e0-47c3-9e2c-6ec82df17058,1,,68,
71660d41-5dfc-4938-aa17-36c1496bb0e3,1,,68,"This is education, heritage, reading, co-production, literature, arts for society, etc. Could be a -1 or could be left here as a basic interpretation"
d698bebb-c028-46a2-aa95-c0182c074881,0,12,12,curation practices
eb800897-b99b-4684-8f47-02c6ef56e9e5,1,,68,
4b9ea9bd-1794-4226-830a-c087b4135e06,1,,68,
b8f936e1-ee04-414e-9933-83268c8301b9,1,,68,
6e47e59a-ebdc-49b3-b62e-348f4318c821,0,27,27,
c3468774-b87e-4ae6-8ba8-a0ca180cdebe,0,75,75,
