funder,id
Autism Speaks Foundation,561
European Space Agency ,562
Horizon 2020,563
Rolls-Royce,564
Sandvik Tooling,565
Wales Office of Research and Development for Health and Social Care (WORD),566
Abertawe Bro Morgannwg University Health Board  ,567
EDF Energy,568
Novo Nordisk (Denmark),569
Leona M. and Harry B. Helmsley Charitable Trust,570
The Stroke Association,571
"Chest, Heart & Stroke Scotland",572
The Health Foundation (formerly the PPP Foundation).,573
NHS R & D Programme (NCCHTA),574
EU FP7,575
Bayer AG,576
ECONOMIC AND SOCIAL RESEARCH COUNCIL (ESRC),577
"Ministry of Housing, Communities and Local Government",578
ROYAL TOWN PLANNING INSTITUTE (UK),579
"Royal Institution of Chartered Surveyors,",580
UNESCO Creative Cities Network (Krakow Festival Office – Krakow UNESCO City of Literature),581
Agriculture and Horticulture Development Board,582
The Leverhulme Trust,583
The Tiny Lives Trust,584
The Academic Health Sciences Network  North East and North Cumbria/The Tiny Lives Charity,585
Education Endowment Foundation,586
Office for National Statistics,587
Department for Transport,588
Cicely Saunders Foundation,589
Elizabeth Clark Charitable Trust,590
King’s College Hospital Charitable Trust,591
Dunhill Medical Trust,592
Roy Castle Lung Cancer Foundation,593
Marie Curie Cancer Care,594
NIHR HS&DR,595
British Lung Foundation,596
Australian Research Council,597
Wellcome Trust,598
BP International Ltd,599
Primary Science Teaching Trust (PSTT),600
Universities UK,601
HEPI,602
AHRC - Arts and Humanitites Research Council,603
Irish Human Rights and Equality Commission,604
AHRC (Arts & Humanities Research Council),605
Doble,606
Doble Engineering Trabsinor AS,607
Doble Power Test Ltd,608
Doble Power,609
Google,610
Google LLC,611
Science and Technologies Facilities Council,612
Department for Trade and Industry,613
NASA,614
WWF International,615
Environment Canada,616
Rufford Foundation,617
Esme Fairbairn Foundation,618
American Museum of Natural History,619
"Rio Tinto, PLC",620
Imperial College,621
Rewilding Europe,622
Conservation of Arctic Flora and Fauna,623
Bat Conservation Trust,624
Innovate UK (Technology Strategy Board),625
Energy Technologies Institute (ETI),626
Lupus UK,627
British Society for Rheumatology,628
British Association of Dermatologists,629
GlaxoSmithKline,630
Academy of Medical Sciences,631
Sanofi,632
NIHR National Institute for Health Research,633
Tommy’s Charity,634
Gates Foundation,635
The Netherlands Organization for Scientific Research (NWO),636
NC3Rs,637
ACE,638
Department for Education,639
Froebel Trust,640
The Research Council of Norway,641
Esmee Fairbairn Foundation,642
York Against Cancer,643
IN-2015-041,644
RCUK / UKRI,645
Proctor and Gamble,646
Alpla,647
InnovateUK,648
Innovate UK and Oil & Gas UK,649
Advanced Manufacturing Research Centre with Boeing at the University of Sheffield,650
Technicut Limited,651
European Commission through the 7th Framework Programme,652
Small Research Grants Awards,653
EU Marie Curie Co-fund,654
Standard Chartered Bank,655
Learning and Skills Council (now part of BEIS),656
Economic and Social Research Council ,657
Chartered Institute of Personnel and Development,658
Nesta,659
National Lottery Heritage Fund,660
Wellcome (via ANIMATE PROJECTS LIMITED),661
European Commission H2020 FET,662
Linnean Society,663
Systematics Association,664
National Research Foundation,665
Carbon Trust,666
Cargill (Netherlands),667
Kellogg's (United Kingdom),668
Nestlé (Switzerland),669
UK Department for Education and Skills,670
ESRC Doctoral Studentship,671
ESRC Postdoctoral Fellowship  ,672
Children and Young People’s Research Network. WALES,673
Swansea University Research Grant Enabler. ,674
Health Education England ,675
University College London Hospitals NHS Foundation Trust,676
SE Trust Health Board Northern Ireland,677
Health Education South London ,678
Health Foundation,679
Big Issue Invest,680
EPSRC - Engineering and Physical Sciences Research Council,681
Stanford Society,682
Ministry of Justice,683
Kraft Foods,684
British Film Institute (BFI)/National Lottery,685
European Space Agency,686
1) Jean Monnet Programme of the European Commission,687
2) Jean Monnet Programme of the European Commission,688
3) Jean Monnet Programme of the European Commission,689
European Regional Development Fund (ERDF),690
"Department for Business, Energy & Industrial Strategy",691
D2N2 Local Enterprise Partnership,692
UK Department for International Development,693
British Medical Research Council,694
Foundation of National Institutes of Health (TM),695
Bill and Melinda Gates Foundations (TM),696
Open Philanthropy (TM),697
UK Natural Environment Research Council,698
Schlumberger Foundation,699
Niger Delta Development Commission,700
Royal Geographical Society (with IBG),701
NERC Urgency Grant,702
NERC/DFID Research Grant,703
AURECON,704
FCDO,705
Carnegie Trust for the Universities of Scotland,706
Office Of Naval Research Global,707
Midlands Engine,708
West Midlands Regional Economic Development Institute,709
Erasmus University Rotterdam,710
Transport Research Laboratory Ltd ,711
Scottish Roads Research Board ,712
Lancashire Local Enterprise Partnership (LEP) / Lancashire County Council (LCC),713
MHCLG,714
European Regional Development Fund,715
Lancashire County Council,716
Petroliam Nasional Berhad (PETRONAS),717
G3.1) European Regional Development Fund (ERDF),718
G3.2) Learn Direct ,719
University of Huddersfield,720
"GORTA-Self Help Africa, Ireland",721
DfID,722
Prince’s Countryside Fund,723
Hans-Böckler Foundation,724
North West Development Agency,725
Anglo-German Foundation for the Study of Industrial Society,726
Sigma Network,727
Institute of Mathematics and its Applications,728
Catholic Agency for Overseas Development Research England,729
NERC (Higher Education Innovation Fund) ,730
BEIS,731
Welsh European Funding Office (WEFO),732
European Commission - Horizon 2020,733
Korea Institute for Energy Technology Evaluation and Planning KETEP,734
Glasgow City Council,735
Motor Neurone Disease Association,736
Bill and Melinda Gates Foundation,737
Innovate-UK,738
Royal Society of Edinburgh,739
EUROPEAN COMISSION,740
risQ,741
Munich Re,742
"Ministry of Science and Technology, Taiwan",743
Health and Safety Executive,744
The Food Standards Agency,745
National Coordinating Centre for Research Methodology,746
BBSRC Industrial CASE studentship (BB/J012491/1),747
Nestec Ltd,748
Boehringer Ingelheim Vetmedica GmbH,749
American Kennel Club - Canine Health Foundation,750
BBSRC (Responsive mode  BB/P001874/1),751
Boehringer Ingelheim Ltd,752
BBSRC Fellowship (Future Leaders Fellowship BB/P010881/1),753
MRC Centre,754
Wellcome Trust (Strategic Award),755
Wellcome Trust Programme grant (2005-2010),756
MRC Project Grant,757
Stavros Niarchos Foundation,758
Airbus Defence and Space Limited,759
The Scottish Funding Council (SFC),760
Department for Business Energy and Industrial Strategy,761
Interreg France (Manche)-Angleterre,762
Carnegie Trust,763
G1: Parkinson’s UK,764
"Foreign, Commonwealth and Development Office (FCDO)",765
International Foundation for Research in Paraplegia,766
International Spinal Research Trust,767
National Institute of Health Research,768
Fresca Group Ltd,769
M & W MACK LTD,770
"Centre for Environment, Fisheries and Aquaculture Science",771
"Department of Environment,Transport & the Regions",772
Natural England,773
Centre for Ecology and Hydrology,774
Pembrokeshire Coast National Park,775
Engineering & Physical Sciences Research Council,776
G3.1) Arts Council of England ,777
G3.2) Arts Council of England ,778
G3.3) Yorkshire Sculpture Park,779
"G3.4) Mixed Reality Laboratory, The University of Nottingham",780
ELIXIR,781
UCL GCRF Fund,782
US National Institute of Health (NIH),783
Argonne National Laboratory,784
Turing Institute,785
DEFRA-Rural Payments Agency ,786
 British Academy/ The Leverhulme,787
Tell MAMA,788
"Academy of Korean Studies, The",789
OU’s Centre for Police Research and Learning,790
Primary funding from the Metropolitan Police Service,791
CSL Behring GmbH,792
G1: EDINBURGH COUNCIL,793
G2: NHS LOTHIAN,794
 EDINBURGH UNIVERSITY,795
 Salveson Mindroom centre,796
Scottish Cot Death Trust,797
Foundation for Study of Infant Deaths (now Lullaby Trust),798
G1: Irish Film Board,799
G2: Broadcasting Authority of Ireland,800
G3: Zanzibar Films,801
G4: Revenue (Irish Tax and Customs),802
Jan Wallanders och Tom Hedelius Stiftelse (Sweden),803
Headquarters Army Recruiting and Training Division Occupational Medicine (Ministry of Devence),804
BAE Systems Ltd,805
G1: Society of Legal Scholars,806
G2: Leverhulme Trust,807
Skills for Care (Sector Skills Council),808
Care Council Wales,809
Fisheries Innovation Scotland,810
BRITISH ACADEMY (UK),811
The Arcus Foundation,812
Cochrane Collaboration,813
Horizon 2020 European Research Council,814
Office of National Statistics Economic Statistics Centre of Excellence,815
 Nuffield Foundation,816
EU-Horizon 2020,817
Australian Department of Foreign Affairs and Trade,818
Japan Society for the Promotion of Science,819
Manchester United Association Football Club,820
Historic England/English Heritage,821
British Foreign and Commonwealth Office (FCO),822
Association for the Prevention of Torture,823
Norsk Tipping ,824
Association of British Bookmakers,825
Camelot Plc,826
Nova Scotia Gaming Corporation,827
Svenska Spel,828
Assissa Consulting,829
Hong Kong Jockey Club,830
World Bank,831
UNHCR Research Grant,832
CRUK,833
Astellas,834
Clovis Oncology,835
Janssen,836
Novartis,837
Sanofi-Aventis,838
Global Health Challenges,839
Northumbrian Water Ltd,840
1) British Academy,841
3) Wellcome Trust ISSF,842
Jeunesses Musicales International,843
Army Recruiting and Training Division – Ministry of Defence (Army),844
Ministry of Defence (Army),845
English Institute of Sport,846
Danish Innovation Foundation,847
Alcohol Education Research Council (now renamed as Alcohol Change UK) ,848
 Joseph Rowntree Charitable Trust,849
 Cambridge Real Estate Research Centre,850
 Government Investment Corporation of Singapore,851
 Ove Arup Foundation,852
Health and Social Care Trust: Research and Development and Public Health Agency,853
"Department of Health and Public Health Agency, Research and Development Division",854
Health and Social Care Trust: Research and Development Division Enabling Research Awards,855
Samaritans Ireland,856
Children’s Hospices Across Scotland (previously  Children’s Hospices Association Scotland),857
NHS Education for Scotland,858
Economic and Social Research Council (ESRC) ,859
European Commission – MED Programme ,860
"Ministry of Housing, Communities & Local Government (MHCLG)",861
NHS England and Ministry of Justice,862
UKIERI,863
Wellcome Trust ,864
Curriculum Examinations and Assessment Association for Northern Ireland (CCEA),865
Barts Charity,866
Bupa Foundation ,867
The Tavistock Trust for Aphasia ,868
Arts and Humanities Research Council (AH/P003893/1),869
The British Academy (EN140026),870
The Rachel Carson Centre (Munich),871
Dementia Services Development Trust (DSDT),872
Thomas Pocklington Trust,873
Paths for All,874
Pearson,875
Max Batley Award,876
Heart Research UK,877
Society for Endocrinology,878
Bedfordshire Police,879
Qatar University,880
Ergotron,881
Herts Sports Partnership,882
Scottish Institute for Policing Research (SIPR),883
The Police  Service of Scotland (Police Scotland),884
"Institute of Sociology, Russian Academy of Sciences, Moscow",885
United Nations Office on Drugs and Crime,886
Christian Doppler Society,887
Music Therapy Charity,888
European Union / Alzheimer's Society UK,889
Project Management Institute,890
RCOG,891
Police Scotland ,892
Rosemere Cancer Foundation,893
The British Academy (EN160043 and MD20\200042),894
United States Agency for International Development,895
Bill & Melinda Gates Foundation ,896
Home Office Civil Renewal Unit,897
Department for Communities and Local Government,898
Santander Mobility Fund,899
Iberbibliotectas Grant,900
Ricardo-AEA Ltd,901
Carnegie Corporation of New York,902
DFID Seniro Research Fellowship in Conflit and Fagility,903
Royal College of Anaesthetists & Association of Anaesthetists ,904
National Institute of Academic Anaesthesia & Obstetric Anaesthetists' Association,905
Higher Education Funding council for England,906
"European Commission: Education, Audiovisual and Culture Executive Agency",907
eEPSRC,908
LSCITS-RPv2: Large-Scale Complex IT Systems Initiative,909
Daphne Jackson Trust,910
BIOTECHNOLOGY & BIOLOGICAL SCIENCE RESEARCH COUNCIL (BBSRC),911
British Psychological Society,912
HEIF,913
NSPCC,914
Volkswagen Stiftung,915
Chief Scientist Office,916
National Society for the Prevention of Cruelty to Children (NSPCC),917
1) Scottish Government Health Directorate,918
2) Scottish Government Health Directorate,919
3) Chief Scientist Office,920
Fieldstead & Company,921
Afferent Pharmaceuticals,922
Synairgen Research Ltd,923
Government of Japan,924
British Academy / Leverhulme,925
Society for the Promotion of Roman Studies,926
A G Leventis Foundation,927
